Common Name,Confidence,"Number of Instances, 50% Confidence","Number of Instances, 55% Confidence","Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare
American Bittern,0.2814,,,,,,,,,,,NA,no
American Crow,0.6561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,TBD,no
American Goldfinch,0.7025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,TBD,no
American Kestrel,0.5137,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,TBD,no
American Redstart,0.7260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,TBD,no
American Robin,0.9893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,2575.0,TBD,no
American Woodcock,0.6004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Baltimore Oriole,0.6913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,TBD,no
Barn Swallow,0.4151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TBD,no
Barred Owl,0.9994,13.0,4.0,9.0,12.0,21.0,7.0,21.0,45.0,44.0,0.0,TBD,no
Belted Kingfisher,0.9547,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TBD,no
Black-and-white Warbler,0.2810,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Black-billed Cuckoo,0.9998,0.0,2.0,0.0,1.0,3.0,1.0,1.0,8.0,20.0,0.0,TBD,no
Black-capped Chickadee,0.8983,0.0,0.0,0.0,0.0,0.0,0.0,41.0,57.0,51.0,64.0,TBD,no
Black-throated Blue Warbler,0.9902,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,TBD,no
Black-throated Green Warbler,0.7386,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Blackburnian Warbler,0.9640,7.0,7.0,7.0,4.0,6.0,11.0,2.0,8.0,8.0,3.0,TBD,no
Blackpoll Warbler,0.9868,0.0,0.0,0.0,0.0,0.0,0.0,10.0,49.0,76.0,208.0,TBD,no
Blue Jay,0.9856,0.0,0.0,0.0,0.0,0.0,0.0,8.0,25.0,35.0,859.0,TBD,no
Blue-winged Warbler,0.7903,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TBD,no
Broad-winged Hawk,0.9912,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Brown Creeper,0.5865,,,,,,,,,,,NA,no
Brown Thrasher,0.9295,1.0,3.0,2.0,2.0,2.0,0.0,4.0,1.0,5.0,1.0,TBD,no
Brown-headed Cowbird,0.9554,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,28.0,38.0,TBD,no
Canada Goose,0.6891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,TBD,no
Canada Warbler,0.5448,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Cedar Waxwing,0.9652,0.0,0.0,0.0,0.0,0.0,19.0,21.0,7.0,14.0,31.0,TBD,no
