Common Name,Confidence,"Number of Instances, 50% Confidence","Number of Instances, 55% Confidence","Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare
Alder Flycatcher,0.9886,7.0,7.0,5.0,6.0,6.0,6.0,11.0,6.0,16.0,95.0,TBD,no
American Bittern,0.9557,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,TBD,no
American Crow,0.9805,0.0,0.0,0.0,0.0,0.0,0.0,11.0,29.0,33.0,338.0,TBD,no
American Goldfinch,0.9801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,105.0,604.0,TBD,no
American Kestrel,0.9993,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,16.0,TBD,no
American Redstart,0.9204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,60.0,TBD,no
American Robin,0.9892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088.0,3866.0,TBD,no
American Woodcock,0.5191,,,,,,,,,,,NA,no
Baltimore Oriole,0.9870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.0,TBD,no
Barn Swallow,0.9835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,13.0,TBD,no
Barred Owl,0.8942,2.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,TBD,no
Belted Kingfisher,1.0000,3.0,1.0,1.0,1.0,1.0,5.0,4.0,43.0,0.0,0.0,TBD,no
Black-and-white Warbler,0.6413,0.0,1.0,3.0,2.0,1.0,5.0,2.0,3.0,2.0,1.0,TBD,no
Black-billed Cuckoo,0.9977,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,TBD,no
Black-capped Chickadee,0.8554,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,8.0,13.0,TBD,no
Black-throated Blue Warbler,0.7089,,,,,,,,,,,NA,no
Black-throated Green Warbler,0.6652,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Blackburnian Warbler,0.4172,,,,,,,,,,,NA,no
Blackpoll Warbler,0.9736,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,7.0,24.0,TBD,no
Blue Grosbeak,0.2636,,,,,,,,,,,NA,no
Blue Jay,0.9902,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,13.0,330.0,TBD,no
Blue-winged Warbler,0.8273,2.0,8.0,3.0,2.0,5.0,1.0,0.0,3.0,2.0,3.0,TBD,no
Broad-winged Hawk,0.3245,,,,,,,,,,,NA,no
Brown Creeper,0.4527,,,,,,,,,,,NA,no
Brown Thrasher,0.9648,24.0,23.0,29.0,19.0,18.0,12.0,21.0,16.0,19.0,11.0,TBD,no
Brown-headed Cowbird,0.9938,0.0,0.0,0.0,0.0,0.0,0.0,51.0,200.0,225.0,502.0,TBD,no
Canada Goose,0.9640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,TBD,no
Canada Warbler,0.8078,0.0,2.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,TBD,no
Cedar Waxwing,0.9935,0.0,0.0,0.0,0.0,0.0,49.0,77.0,72.0,79.0,177.0,TBD,no
Common Loon,0.5611,,,,,,,,,,,NA,no
Common Raven,0.8383,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,TBD,no
Common Yellowthroat,0.9917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1592.0,TBD,no
Dickcissel,0.5154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,TBD,no
Eastern Bluebird,0.9498,12.0,9.0,14.0,14.0,13.0,8.0,9.0,6.0,13.0,12.0,TBD,no
Eastern Meadowlark,0.6474,0.0,0.0,0.0,1.0,8.0,8.0,4.0,1.0,4.0,4.0,TBD,no
Eastern Phoebe,0.9895,9.0,15.0,3.0,11.0,8.0,9.0,17.0,20.0,23.0,0.0,TBD,no
Eastern Whip-poor-will,0.2891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TBD,no
