Common Name,Confidence,"Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare,List of Datetimes
Acadian Flycatcher,0.3723,,,,,,,,,NA,no,NA
Alder Flycatcher,0.9813,9.0,9.0,17.0,13.0,15.0,16.0,36.0,142.0,TBD,no,"[['20250530_061502', 6], ['20250530_071502', 21], ['20250530_081502', 2], ['20250602_061302', 2], ['20250602_071302', 28], ['20250602_081302', 31], ['20250604_051200', 4], ['20250604_061202', 9], ['20250604_071202', 44], ['20250604_081202', 56], ['20250605_061202', 13], ['20250605_081202', 7], ['20250606_061202', 13], ['20250606_071202', 10], ['20250606_081202', 10], ['20250607_061102', 1]]"
American Bittern,0.5242,,,,,,,,,NA,no,NA
American Crow,0.9875,0.0,0.0,0.0,0.0,18.0,41.0,73.0,452.0,TBD,no,"[['20250517_052500', 25], ['20250517_062502', 1], ['20250518_052400', 5], ['20250519_072302', 6], ['20250519_082302', 3], ['20250522_052100', 1], ['20250524_061902', 58], ['20250524_071902', 26], ['20250524_081902', 13], ['20250525_051800', 1], ['20250525_061802', 5], ['20250525_071802', 1], ['20250525_081802', 4], ['20250526_051700', 1], ['20250526_061702', 3], ['20250526_081702', 1], ['20250527_051700', 4], ['20250527_061702', 17], ['20250527_081702', 4], ['20250528_061602', 4], ['20250529_071502', 2], ['20250530_061502', 1], ['20250530_071502', 1], ['20250531_051400', 9], ['20250531_061402', 2], ['20250531_081402', 1], ['20250601_051400', 3], ['20250601_061402', 8], ['20250601_071402', 1], ['20250602_061302', 2], ['20250604_051200', 2], ['20250604_061202', 1], ['20250604_071202', 1], ['20250604_203400', 3], ['20250605_051200', 6], ['20250605_061202', 21], ['20250605_071202', 14], ['20250606_051200', 2], ['20250606_061202', 3], ['20250606_071202', 4], ['20250606_081202', 2], ['20250607_051100', 2], ['20250607_061102', 2], ['20250607_081102', 1], ['20250608_051100', 6], ['20250608_061102', 5], ['20250608_071102', 25], ['20250609_061102', 4], ['20250609_081102', 10], ['20250610_081102', 30], ['20250611_051000', 18], ['20250612_051000', 4], ['20250612_071002', 3], ['20250614_051000', 2], ['20250614_061002', 5], ['20250614_081002', 4], ['20250615_051000', 5], ['20250615_061002', 3], ['20250615_071002', 3], ['20250615_081002', 3], ['20250616_071002', 18], ['20250617_051000', 2], ['20250617_061002', 2], ['20250618_051000', 4], ['20250618_061002', 63], ['20250618_071002', 2], ['20250619_051000', 25], ['20250619_061002', 7], ['20250622_051100', 1], ['20250624_081202', 3], ['20250624_204300', 1], ['20250625_051200', 5], ['20250625_081202', 1], ['20250626_061202', 1], ['20250626_071202', 3], ['20250626_081202', 5], ['20250628_051300', 5], ['20250628_071302', 2], ['20250628_081302', 25], ['20250630_051400', 1], ['20250630_071402', 1]]"
American Goldfinch,0.9931,0.0,0.0,0.0,0.0,0.0,35.0,68.0,497.0,TBD,no,"[['20250515_052800', 1], ['20250515_062802', 2], ['20250515_072802', 1], ['20250515_082802', 7], ['20250516_072602', 1], ['20250518_052400', 3], ['20250518_062402', 3], ['20250518_072402', 1], ['20250518_082402', 20], ['20250519_052300', 11], ['20250519_062302', 15], ['20250519_072302', 6], ['20250519_082302', 6], ['20250521_062202', 2], ['20250521_082202', 3], ['20250522_062102', 5], ['20250522_072102', 9], ['20250522_082102', 12], ['20250523_062002', 6], ['20250523_072002', 16], ['20250523_082002', 10], ['20250524_051900', 1], ['20250524_061902', 3], ['20250524_071902', 6], ['20250524_081902', 4], ['20250525_051800', 3], ['20250525_061802', 3], ['20250525_071802', 10], ['20250525_081802', 6], ['20250526_061702', 1], ['20250526_071702', 1], ['20250526_081702', 8], ['20250527_051700', 26], ['20250527_061702', 7], ['20250527_071702', 3], ['20250527_081702', 8], ['20250528_071602', 1], ['20250528_081602', 2], ['20250529_061502', 3], ['20250529_071502', 4], ['20250529_081502', 2], ['20250530_051500', 4], ['20250530_061502', 5], ['20250530_071502', 4], ['20250530_081502', 3], ['20250531_051400', 1], ['20250531_061402', 10], ['20250531_071402', 3], ['20250531_081402', 1], ['20250601_071402', 4], ['20250601_081402', 1], ['20250602_061302', 1], ['20250602_071302', 4], ['20250604_061202', 27], ['20250604_081202', 3], ['20250605_051200', 1], ['20250605_061202', 1], ['20250605_071202', 6], ['20250606_061202', 3], ['20250606_071202', 1], ['20250606_081202', 2], ['20250607_071102', 2], ['20250607_081102', 1], ['20250608_061102', 32], ['20250608_071102', 4], ['20250608_081102', 3], ['20250609_051100', 1], ['20250609_071102', 4], ['20250610_061102', 1], ['20250610_081102', 5], ['20250611_061002', 2], ['20250611_071002', 9], ['20250611_081002', 1], ['20250612_061002', 2], ['20250612_071002', 1], ['20250612_081002', 1], ['20250614_061002', 3], ['20250614_071002', 3], ['20250614_081002', 1], ['20250615_051000', 1], ['20250615_071002', 7], ['20250615_081002', 4], ['20250616_061002', 6], ['20250616_081002', 3], ['20250617_061002', 1], ['20250617_071002', 1], ['20250617_081002', 1], ['20250618_051000', 1], ['20250618_071002', 10], ['20250618_081002', 1], ['20250619_061002', 2], ['20250619_071002', 3], ['20250619_081002', 1], ['20250620_061102', 1], ['20250620_071102', 2], ['20250620_081102', 8], ['20250621_081102', 1], ['20250622_061102', 1], ['20250622_081102', 2], ['20250623_081102', 3], ['20250624_051200', 1], ['20250624_061202', 16], ['20250624_071202', 7], ['20250624_081202', 11], ['20250625_051200', 3], ['20250625_061202', 2], ['20250625_071202', 4], ['20250625_081202', 30], ['20250626_061202', 14], ['20250626_071202', 6], ['20250626_081202', 5], ['20250627_051300', 1], ['20250627_061302', 1], ['20250627_071302', 5], ['20250627_081302', 4], ['20250627_204300', 2], ['20250628_051300', 1], ['20250628_061302', 7], ['20250628_071302', 3], ['20250628_081302', 2], ['20250629_071402', 1], ['20250629_081402', 2], ['20250629_204200', 1], ['20250630_061402', 2], ['20250630_071402', 3], ['20250630_081402', 3]]"
American Redstart,0.7760,0.0,0.0,0.0,0.0,0.0,0.0,14.0,55.0,TBD,no,"[['20250521_052200', 5], ['20250521_062202', 6], ['20250522_052100', 2], ['20250522_062102', 14], ['20250522_072102', 18], ['20250522_082102', 17], ['20250525_071802', 5], ['20250525_081802', 2]]"
American Robin,0.9860,0.0,0.0,0.0,0.0,0.0,0.0,284.0,802.0,TBD,no,"[['20250515_052800', 2], ['20250515_062802', 1], ['20250515_072802', 8], ['20250515_082802', 1], ['20250516_052600', 63], ['20250516_062602', 51], ['20250516_072602', 1], ['20250517_052500', 1], ['20250517_062502', 64], ['20250517_072502', 115], ['20250517_082502', 191], ['20250518_052400', 22], ['20250518_062402', 1], ['20250518_072402', 1], ['20250518_082402', 1], ['20250522_052100', 15], ['20250522_062102', 2], ['20250522_082102', 2], ['20250523_052000', 28], ['20250523_072002', 1], ['20250523_082002', 1], ['20250524_051900', 1], ['20250524_081902', 7], ['20250525_051800', 1], ['20250525_071802', 2], ['20250526_051700', 6], ['20250526_081702', 2], ['20250529_051500', 1], ['20250530_071502', 2], ['20250531_051400', 2], ['20250531_071402', 2], ['20250601_203200', 3], ['20250602_061302', 3], ['20250602_071302', 2], ['20250602_081302', 7], ['20250603_203300', 1], ['20250604_203400', 39], ['20250605_061202', 5], ['20250605_071202', 5], ['20250605_081202', 2], ['20250606_051200', 1], ['20250606_061202', 1], ['20250606_071202', 3], ['20250606_203500', 33], ['20250607_051100', 1], ['20250607_071102', 2], ['20250607_081102', 4], ['20250607_203600', 7], ['20250608_051100', 2], ['20250608_071102', 1], ['20250608_203700', 1], ['20250610_061102', 2], ['20250610_203800', 11], ['20250611_061002', 1], ['20250611_071002', 1], ['20250612_051000', 1], ['20250612_061002', 1], ['20250612_071002', 1], ['20250614_071002', 1], ['20250614_081002', 1], ['20250615_051000', 2], ['20250615_061002', 1], ['20250616_051000', 1], ['20250616_061002', 1], ['20250617_051000', 2], ['20250617_061002', 1], ['20250618_051000', 2], ['20250618_061002', 13], ['20250618_071002', 1], ['20250618_081002', 1], ['20250619_051000', 1], ['20250619_061002', 2], ['20250619_071002', 3], ['20250619_204200', 26], ['20250620_051100', 1], ['20250620_071102', 4], ['20250622_061102', 3], ['20250622_071102', 1], ['20250623_081102', 1], ['20250624_051200', 1], ['20250624_061202', 1], ['20250624_071202', 2], ['20250624_081202', 2], ['20250624_204300', 15], ['20250625_071202', 10], ['20250625_081202', 60], ['20250626_061202', 3], ['20250626_071202', 1], ['20250626_081202', 6], ['20250626_204300', 29], ['20250627_051300', 4], ['20250627_061302', 1], ['20250627_071302', 3], ['20250627_081302', 2], ['20250627_204300', 39], ['20250628_051300', 9], ['20250628_061302', 1], ['20250628_071302', 2], ['20250628_204300', 24], ['20250629_051400', 6], ['20250629_061402', 5], ['20250629_081402', 5], ['20250629_204200', 4], ['20250630_051400', 10], ['20250630_061402', 13], ['20250630_071402', 5], ['20250630_081402', 5], ['20250630_204200', 10]]"
American Woodcock,0.7489,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TBD,no,"[['20250603_213302', 1]]"
Bald Eagle,0.2663,,,,,,,,,NA,no,NA
Baltimore Oriole,0.9830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,TBD,no,"[['20250515_052800', 1], ['20250515_062802', 5], ['20250515_072802', 9], ['20250515_082802', 40], ['20250516_052600', 6], ['20250516_062602', 17], ['20250516_072602', 2], ['20250517_052500', 10], ['20250517_062502', 2], ['20250517_072502', 12], ['20250518_052400', 11], ['20250518_062402', 1], ['20250518_072402', 20], ['20250518_082402', 14], ['20250519_052300', 10], ['20250519_062302', 11], ['20250519_072302', 1], ['20250519_082302', 1], ['20250521_082202', 4], ['20250522_052100', 16], ['20250522_062102', 33], ['20250522_072102', 72], ['20250522_082102', 100], ['20250523_052000', 4], ['20250523_062002', 6], ['20250523_072002', 7], ['20250523_082002', 3], ['20250524_051900', 18], ['20250524_061902', 2], ['20250524_071902', 11], ['20250524_081902', 10], ['20250525_051800', 20], ['20250525_061802', 52], ['20250525_071802', 72], ['20250525_081802', 38], ['20250526_051700', 15], ['20250526_061702', 10], ['20250526_071702', 5], ['20250526_081702', 4], ['20250528_071602', 7], ['20250528_081602', 3], ['20250529_061502', 1], ['20250529_081502', 3], ['20250530_051500', 2], ['20250530_061502', 7], ['20250530_081502', 2], ['20250531_051400', 1], ['20250531_071402', 6], ['20250531_081402', 11], ['20250601_061402', 5], ['20250601_071402', 4], ['20250601_081402', 11], ['20250602_051300', 1], ['20250602_061302', 1], ['20250602_081302', 4], ['20250603_061302', 2], ['20250603_081302', 1], ['20250604_051200', 5], ['20250604_061202', 6], ['20250604_071202', 12], ['20250604_081202', 3], ['20250604_203400', 1], ['20250605_051200', 5], ['20250605_071202', 1], ['20250605_081202', 2], ['20250606_051200', 2], ['20250606_061202', 5], ['20250606_071202', 32], ['20250606_081202', 7], ['20250607_061102', 2], ['20250607_071102', 4], ['20250607_081102', 2], ['20250608_061102', 1], ['20250608_071102', 1], ['20250609_061102', 2], ['20250609_071102', 1], ['20250609_081102', 2], ['20250610_051100', 1], ['20250610_071102', 3], ['20250610_081102', 6], ['20250611_061002', 1], ['20250612_051000', 1], ['20250612_071002', 1], ['20250614_061002', 1], ['20250614_081002', 3], ['20250615_051000', 2], ['20250616_051000', 7], ['20250616_061002', 2], ['20250616_071002', 4], ['20250617_051000', 4], ['20250619_061002', 8], ['20250619_081002', 2], ['20250624_071202', 1], ['20250625_071202', 2], ['20250626_051200', 1], ['20250626_081202', 1], ['20250629_061402', 1]]"
