Common Name,Confidence,"Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare,List of Datetimes
Barred Owl,0.8642,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,TBD,no,"[['20250606_204100', 1], ['20250611_051100', 1], ['20250616_071002', 1], ['20250620_061102', 1]]"
Bay-breasted Warbler,0.8956,6.0,4.0,4.0,4.0,4.0,2.0,3.0,1.0,TBD,no,"[['20250518_062502', 2], ['20250518_082502', 2], ['20250521_072202', 2], ['20250522_062102', 2], ['20250522_072102', 1], ['20250524_072002', 1], ['20250526_081802', 1], ['20250527_051700', 1], ['20250529_051600', 1], ['20250530_081502', 1], ['20250604_061302', 1], ['20250607_081202', 1], ['20250614_061002', 1], ['20250615_061002', 2], ['20250615_071002', 1], ['20250615_081002', 1], ['20250617_071102', 1], ['20250624_051200', 1], ['20250624_071202', 1], ['20250624_081202', 1], ['20250625_071202', 1], ['20250628_061402', 1], ['20250628_071402', 1]]"
Belted Kingfisher,0.6704,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250610_061102', 1], ['20250610_081102', 1], ['20250616_071002', 1]]"
Black-and-white Warbler,0.9557,130.0,102.0,87.0,75.0,59.0,64.0,58.0,47.0,TBD,no,"[['20250516_062702', 1], ['20250518_062502', 1], ['20250522_072102', 10], ['20250523_052100', 8], ['20250523_062102', 7], ['20250523_072102', 8], ['20250525_051900', 7], ['20250525_061902', 2], ['20250525_071902', 3], ['20250525_081902', 3], ['20250526_051800', 1], ['20250526_061802', 2], ['20250526_071802', 1], ['20250526_081802', 3], ['20250527_051700', 2], ['20250527_061702', 1], ['20250527_071702', 2], ['20250527_081702', 9], ['20250528_051700', 1], ['20250528_061702', 1], ['20250528_071702', 2], ['20250528_081702', 4], ['20250529_051600', 2], ['20250529_061602', 3], ['20250530_051500', 1], ['20250530_061502', 1], ['20250530_081502', 1], ['20250609_061102', 2], ['20250609_071102', 2], ['20250609_081102', 2], ['20250610_051100', 1], ['20250610_071102', 6], ['20250610_081102', 2], ['20250610_204400', 1], ['20250611_051100', 1], ['20250611_081102', 5], ['20250612_051100', 2], ['20250614_061002', 5], ['20250614_071002', 7], ['20250614_081002', 3], ['20250615_051000', 5], ['20250615_061002', 22], ['20250615_071002', 33], ['20250615_081002', 25], ['20250616_051000', 1], ['20250616_061002', 13], ['20250616_071002', 5], ['20250616_081002', 1], ['20250617_051100', 7], ['20250617_061102', 22], ['20250617_071102', 21], ['20250617_081102', 12], ['20250618_051100', 4], ['20250618_061102', 1], ['20250618_071102', 5], ['20250618_081102', 3], ['20250619_061102', 4], ['20250619_071102', 7], ['20250619_081102', 6], ['20250620_061102', 9], ['20250620_071102', 10], ['20250620_081102', 12], ['20250621_051100', 1], ['20250621_061102', 5], ['20250622_071102', 3], ['20250622_081102', 14], ['20250622_204800', 4], ['20250623_061202', 8], ['20250623_071202', 11], ['20250623_081202', 7], ['20250624_051200', 3], ['20250624_061202', 5], ['20250624_071202', 14], ['20250624_081202', 32], ['20250625_061202', 4], ['20250625_071202', 16], ['20250625_081202', 7], ['20250626_061302', 3], ['20250626_071302', 5], ['20250627_061302', 8], ['20250627_071302', 2], ['20250627_204800', 7], ['20250628_051400', 12], ['20250628_061402', 21], ['20250628_071402', 11], ['20250628_081402', 19], ['20250629_051400', 1], ['20250629_061402', 24], ['20250629_071402', 10], ['20250629_081402', 8], ['20250630_061502', 1], ['20250630_081502', 2]]"
Black-billed Cuckoo,0.9935,3.0,1.0,3.0,3.0,1.0,3.0,5.0,0.0,TBD,no,"[['20250516_052700', 1], ['20250518_072502', 1], ['20250525_051900', 14], ['20250530_051500', 1], ['20250531_071502', 2]]"
Black-capped Chickadee,0.8583,0.0,0.0,0.0,0.0,40.0,27.0,25.0,36.0,TBD,no,"[['20250517_082602', 3], ['20250518_052500', 1], ['20250521_052200', 1], ['20250522_052100', 1], ['20250528_071702', 3], ['20250530_061502', 3], ['20250531_061502', 3], ['20250601_061402', 2], ['20250601_071402', 2], ['20250601_081402', 1], ['20250603_061302', 1], ['20250603_081302', 1], ['20250603_203900', 5], ['20250604_081302', 1], ['20250604_204000', 4], ['20250605_071202', 1], ['20250605_081202', 23], ['20250606_051200', 1], ['20250606_061202', 2], ['20250607_051200', 9], ['20250607_061202', 2], ['20250607_081202', 6], ['20250608_051100', 1], ['20250608_061102', 5], ['20250608_071102', 20], ['20250609_204300', 1], ['20250613_051100', 17], ['20250614_051000', 2], ['20250614_071002', 1], ['20250615_051000', 1], ['20250618_051100', 1], ['20250622_081102', 3]]"
Black-crowned Night-Heron,0.8095,,,,,,,,,NA,no,NA
Black-throated Blue Warbler,0.5516,,,,,,,,,NA,no,NA
Black-throated Green Warbler,0.7879,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250629_081402', 1]]"
Blackburnian Warbler,0.7597,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,TBD,no,"[['20250529_061602', 1], ['20250607_081202', 1], ['20250609_061102', 1], ['20250617_061102', 1], ['20250625_081202', 1]]"
