Common Name,Confidence,"Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare,List of Datetimes
Acadian Flycatcher,0.4400,,,,,,,,,NA,no,NA
Alder Flycatcher,0.9678,0.0,5.0,0.0,2.0,1.0,2.0,0.0,12.0,TBD,no,"[['20250530_072002', 1], ['20250530_082002', 2], ['20250601_061902', 1], ['20250601_071902', 1], ['20250601_081902', 15], ['20250604_081802', 2]]"
American Bittern,0.7753,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250626_081702', 1]]"
American Crow,0.9927,0.0,0.0,0.0,0.0,5.0,19.0,32.0,241.0,TBD,no,"[['20250516_083202', 1], ['20250518_053000', 3], ['20250518_063002', 2], ['20250518_073002', 4], ['20250521_062702', 1], ['20250522_072602', 1], ['20250522_082602', 2], ['20250524_052500', 5], ['20250525_052400', 3], ['20250525_062402', 2], ['20250525_082402', 2], ['20250526_052300', 6], ['20250526_062302', 4], ['20250526_082302', 1], ['20250527_062202', 1], ['20250527_072202', 1], ['20250528_082202', 1], ['20250531_072002', 1], ['20250601_061902', 1], ['20250601_071902', 1], ['20250602_081902', 2], ['20250603_061802', 2], ['20250604_051800', 1], ['20250605_051700', 2], ['20250607_051600', 1], ['20250607_061602', 1], ['20250607_071602', 4], ['20250607_081602', 1], ['20250610_061602', 1], ['20250611_061602', 1], ['20250611_205000', 167], ['20250614_061502', 1], ['20250614_071502', 2], ['20250617_051500', 2], ['20250617_061502', 2], ['20250617_071502', 1], ['20250618_051500', 1], ['20250618_061502', 3], ['20250619_081602', 1], ['20250621_061602', 4], ['20250621_071602', 5], ['20250623_071602', 25], ['20250624_051700', 11], ['20250624_081702', 1], ['20250626_071702', 1], ['20250626_081702', 1], ['20250627_081802', 3], ['20250629_071902', 7]]"
American Goldfinch,0.8204,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,TBD,no,"[['20250518_073002', 1], ['20250522_052600', 1], ['20250522_082602', 1], ['20250523_052500', 1], ['20250602_071902', 1], ['20250611_071602', 1], ['20250611_081602', 1]]"
American Kestrel,0.3459,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TBD,no,"[['20250623_081602', 1]]"
American Redstart,0.9895,0.0,0.0,0.0,0.0,0.0,0.0,389.0,1853.0,TBD,no,"[['20250515_053300', 4], ['20250515_063302', 2], ['20250515_073302', 1], ['20250515_083302', 3], ['20250516_053200', 5], ['20250516_063202', 4], ['20250516_073202', 16], ['20250516_083202', 8], ['20250517_063102', 3], ['20250517_073102', 2], ['20250517_083102', 1], ['20250518_053000', 47], ['20250518_063002', 101], ['20250518_073002', 33], ['20250518_083002', 50], ['20250519_052900', 16], ['20250519_072902', 2], ['20250519_082902', 1], ['20250521_052700', 9], ['20250521_062702', 36], ['20250521_072702', 8], ['20250522_052600', 38], ['20250522_062602', 27], ['20250522_072602', 9], ['20250522_082602', 5], ['20250523_052500', 20], ['20250523_062502', 15], ['20250523_072502', 14], ['20250523_082502', 51], ['20250524_052500', 49], ['20250524_062502', 18], ['20250524_072502', 23], ['20250524_082502', 4], ['20250525_052400', 18], ['20250525_062402', 6], ['20250525_072402', 22], ['20250525_082402', 25], ['20250526_052300', 16], ['20250526_072302', 11], ['20250526_082302', 2], ['20250527_052200', 2], ['20250527_062202', 16], ['20250527_072202', 18], ['20250527_082202', 28], ['20250528_062202', 21], ['20250528_072202', 15], ['20250528_082202', 34], ['20250529_052100', 12], ['20250529_062102', 8], ['20250529_072102', 4], ['20250529_082102', 1], ['20250530_062002', 1], ['20250530_082002', 1], ['20250531_052000', 5], ['20250531_062002', 5], ['20250531_072002', 8], ['20250531_082002', 1], ['20250601_051900', 1], ['20250601_061902', 5], ['20250601_204300', 14], ['20250602_051900', 18], ['20250602_061902', 3], ['20250602_071902', 1], ['20250602_081902', 22], ['20250602_204400', 9], ['20250603_081802', 8], ['20250603_204500', 5], ['20250604_051800', 2], ['20250604_061802', 3], ['20250604_071802', 2], ['20250604_081802', 11], ['20250604_204600', 2], ['20250605_051700', 11], ['20250605_061702', 11], ['20250605_071702', 2], ['20250605_081702', 29], ['20250605_204600', 14], ['20250606_051700', 1], ['20250606_061702', 16], ['20250606_204700', 6], ['20250607_051600', 58], ['20250607_081602', 44], ['20250608_051600', 2], ['20250608_061602', 9], ['20250608_071602', 2], ['20250608_081602', 8], ['20250609_051600', 15], ['20250609_061602', 5], ['20250609_081602', 2], ['20250609_204900', 1], ['20250610_051600', 14], ['20250610_061602', 13], ['20250610_071602', 31], ['20250610_081602', 29], ['20250611_051600', 21], ['20250611_061602', 17], ['20250611_071602', 4], ['20250611_081602', 9], ['20250611_205000', 6], ['20250612_051500', 25], ['20250612_071502', 23], ['20250612_081502', 23], ['20250613_071502', 1], ['20250614_051500', 13], ['20250614_061502', 1], ['20250615_051500', 21], ['20250615_061502', 7], ['20250615_071502', 25], ['20250615_081502', 115], ['20250616_051500', 79], ['20250616_061502', 23], ['20250616_205300', 17], ['20250617_051500', 62], ['20250617_061502', 8], ['20250617_205300', 6], ['20250618_051500', 21], ['20250618_061502', 5], ['20250618_071502', 18], ['20250618_081502', 4], ['20250618_205300', 2], ['20250619_051600', 21], ['20250619_061602', 10], ['20250619_071602', 20], ['20250619_081602', 10], ['20250619_205400', 2], ['20250620_051600', 2], ['20250620_061602', 2], ['20250620_071602', 31], ['20250621_051600', 7], ['20250621_061602', 1], ['20250621_071602', 36], ['20250622_051600', 3], ['20250623_051600', 1], ['20250624_051700', 16], ['20250624_061702', 1], ['20250625_051700', 9], ['20250627_051800', 22], ['20250627_061802', 2], ['20250627_071802', 4], ['20250627_081802', 1], ['20250627_205400', 7], ['20250628_051800', 2], ['20250628_061802', 8], ['20250628_071802', 49], ['20250628_081802', 7], ['20250629_051900', 26], ['20250629_081902', 1], ['20250629_205400', 1], ['20250630_061902', 3], ['20250630_071917', 42], ['20250630_081917', 5]]"
American Robin,0.4813,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,TBD,no,"[['20250531_072002', 1], ['20250612_071502', 1], ['20250617_071502', 8], ['20250624_061702', 1], ['20250626_051700', 4], ['20250626_071702', 2]]"
American Woodcock,0.6423,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250624_081702', 1]]"
Bald Eagle,0.7836,,,,,,,,,NA,no,NA
