Common Name,Confidence,"Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare,List of Datetimes
Acadian Flycatcher,0.9970,4.0,7.0,11.0,13.0,10.0,10.0,22.0,89.0,TBD,no,"[['20250601_051400', 5], ['20250604_081302', 1], ['20250615_061002', 21], ['20250615_071002', 62], ['20250615_081002', 77]]"
Alder Flycatcher,0.9138,1.0,2.0,1.0,3.0,5.0,6.0,3.0,12.0,TBD,no,"[['20250531_071502', 16], ['20250531_081502', 17]]"
American Bittern,0.7898,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250529_051600', 1]]"
American Crow,0.9900,0.0,0.0,0.0,0.0,4.0,16.0,26.0,181.0,TBD,no,"[['20250515_082802', 3], ['20250517_052600', 2], ['20250518_062502', 10], ['20250524_052000', 7], ['20250524_062002', 25], ['20250524_072002', 1], ['20250525_061902', 3], ['20250526_051800', 11], ['20250527_071702', 1], ['20250528_051700', 2], ['20250528_071702', 3], ['20250529_061602', 3], ['20250529_071602', 1], ['20250530_051500', 1], ['20250530_071502', 3], ['20250531_051500', 2], ['20250531_071502', 2], ['20250531_081502', 20], ['20250601_051400', 5], ['20250601_061402', 1], ['20250603_203900', 2], ['20250604_051300', 1], ['20250604_061302', 1], ['20250604_081302', 1], ['20250605_051200', 6], ['20250607_051200', 14], ['20250607_061202', 1], ['20250608_051100', 49], ['20250608_061102', 1], ['20250610_051100', 4], ['20250610_081102', 1], ['20250611_051100', 2], ['20250612_051100', 3], ['20250614_051000', 2], ['20250616_051000', 1], ['20250616_204700', 3], ['20250618_051100', 2], ['20250619_051100', 4], ['20250620_051100', 1], ['20250621_061102', 1], ['20250625_051200', 1], ['20250626_051300', 3], ['20250626_071302', 1], ['20250627_051300', 1], ['20250628_204800', 3], ['20250629_051400', 2], ['20250629_204800', 5], ['20250630_051500', 5]]"
American Goldfinch,0.6759,0.0,0.0,0.0,0.0,0.0,4.0,7.0,10.0,TBD,no,"[['20250524_072002', 1], ['20250524_082002', 1], ['20250525_051900', 1], ['20250525_061902', 1], ['20250525_081902', 2], ['20250526_081802', 1], ['20250527_071702', 1], ['20250530_071502', 1], ['20250602_071402', 1], ['20250608_061102', 1], ['20250618_081102', 5], ['20250619_081102', 2], ['20250624_081202', 2], ['20250627_061302', 1]]"
American Redstart,0.9638,0.0,0.0,0.0,0.0,0.0,0.0,200.0,785.0,TBD,no,"[['20250515_052800', 8], ['20250515_062802', 6], ['20250515_072802', 2], ['20250515_082802', 1], ['20250516_082702', 4], ['20250517_052600', 7], ['20250517_062602', 16], ['20250517_072602', 21], ['20250517_082602', 9], ['20250519_062402', 3], ['20250519_082402', 17], ['20250522_052100', 2], ['20250522_062102', 5], ['20250522_072102', 1], ['20250522_082102', 3], ['20250523_052100', 1], ['20250523_082102', 2], ['20250524_052000', 12], ['20250524_062002', 8], ['20250524_072002', 2], ['20250524_082002', 5], ['20250525_051900', 22], ['20250525_061902', 2], ['20250525_071902', 3], ['20250525_081902', 22], ['20250526_051800', 28], ['20250526_061802', 12], ['20250526_071802', 1], ['20250527_071702', 7], ['20250529_051600', 58], ['20250529_061602', 4], ['20250531_071502', 1], ['20250604_051300', 106], ['20250604_061302', 161], ['20250604_071302', 12], ['20250604_081302', 3], ['20250605_051200', 25], ['20250605_061202', 119], ['20250607_051200', 50], ['20250607_061202', 23], ['20250607_071202', 15], ['20250607_081202', 3], ['20250608_051100', 1], ['20250608_061102', 3], ['20250608_071102', 8], ['20250608_081102', 1], ['20250609_051100', 2], ['20250610_061102', 11], ['20250612_051100', 1], ['20250614_051000', 12], ['20250614_061002', 2], ['20250614_071002', 1], ['20250615_051000', 1], ['20250615_061002', 2], ['20250615_071002', 6], ['20250615_081002', 6], ['20250616_051000', 1], ['20250616_061002', 13], ['20250616_071002', 2], ['20250616_081002', 5], ['20250617_071102', 11], ['20250617_081102', 18], ['20250618_051100', 35], ['20250618_061102', 4], ['20250619_051100', 3], ['20250620_061102', 2], ['20250623_051200', 2], ['20250623_061202', 3], ['20250624_081202', 2], ['20250625_061202', 9], ['20250625_071202', 6]]"
American Robin,0.8969,0.0,0.0,0.0,0.0,0.0,0.0,76.0,168.0,TBD,no,"[['20250520_052300', 1], ['20250521_052200', 2], ['20250524_052000', 12], ['20250524_062002', 7], ['20250524_072002', 1], ['20250524_082002', 1], ['20250525_051900', 15], ['20250525_061902', 18], ['20250525_071902', 4], ['20250525_081902', 10], ['20250526_051800', 2], ['20250526_061802', 1], ['20250526_081802', 2], ['20250529_061602', 2], ['20250531_061502', 2], ['20250531_071502', 1], ['20250601_051400', 4], ['20250601_061402', 1], ['20250603_203900', 2], ['20250604_081302', 1], ['20250604_204000', 4], ['20250605_051200', 8], ['20250605_061202', 2], ['20250605_204000', 2], ['20250606_204100', 4], ['20250607_051200', 1], ['20250607_061202', 2], ['20250608_081102', 1], ['20250608_204300', 1], ['20250609_204300', 2], ['20250610_204400', 5], ['20250611_204400', 13], ['20250614_061002', 2], ['20250614_081002', 6], ['20250615_081002', 2], ['20250615_204600', 1], ['20250617_204700', 31], ['20250619_204800', 1], ['20250620_071102', 6], ['20250620_204800', 7], ['20250621_204800', 11], ['20250622_081102', 1], ['20250623_061202', 1], ['20250623_081202', 1], ['20250623_204800', 20], ['20250624_051200', 1], ['20250624_204800', 9], ['20250627_204800', 1], ['20250628_204800', 4], ['20250629_081402', 1], ['20250629_204800', 4]]"
American Woodcock,0.4748,,,,,,,,,NA,no,NA
Bald Eagle,0.5963,,,,,,,,,NA,no,NA
Baltimore Oriole,0.9819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914.0,TBD,no,"[['20250515_052800', 3], ['20250515_062802', 2], ['20250515_072802', 1], ['20250515_082802', 9], ['20250516_052700', 13], ['20250516_062702', 17], ['20250516_072702', 2], ['20250516_082702', 3], ['20250517_052600', 5], ['20250517_062602', 10], ['20250517_072602', 4], ['20250517_082602', 20], ['20250518_052500', 14], ['20250518_062502', 81], ['20250518_072502', 9], ['20250518_082502', 45], ['20250519_052400', 52], ['20250519_062402', 58], ['20250519_072402', 9], ['20250519_082402', 14], ['20250521_062202', 22], ['20250521_082202', 19], ['20250522_052100', 37], ['20250522_082102', 27], ['20250523_052100', 4], ['20250524_052000', 4], ['20250524_072002', 2], ['20250524_082002', 24], ['20250525_061902', 12], ['20250525_071902', 1], ['20250525_081902', 21], ['20250526_051800', 7], ['20250526_061802', 33], ['20250526_071802', 24], ['20250526_081802', 55], ['20250527_061702', 95], ['20250527_071702', 9], ['20250527_081702', 3], ['20250528_061702', 6], ['20250528_071702', 6], ['20250528_081702', 100], ['20250530_071502', 1], ['20250531_071502', 1], ['20250601_061402', 1], ['20250601_081402', 2], ['20250605_071202', 1], ['20250605_081202', 3], ['20250606_204100', 1], ['20250608_061102', 1], ['20250610_061102', 1], ['20250610_071102', 2], ['20250610_081102', 2], ['20250611_081102', 7], ['20250612_051100', 4], ['20250621_204800', 1], ['20250623_204800', 1], ['20250624_061202', 2], ['20250624_081202', 1]]"
Barred Owl,0.9998,3.0,5.0,4.0,5.0,8.0,12.0,6.0,0.0,TBD,no,"[['20250527_071702', 1], ['20250601_071402', 1], ['20250603_203900', 2], ['20250603_213902', 2], ['20250605_051200', 1], ['20250605_214002', 1], ['20250606_214102', 2], ['20250607_214202', 1], ['20250608_204300', 9], ['20250610_051100', 2], ['20250610_061102', 1], ['20250616_081002', 1], ['20250616_214702', 5], ['20250623_214802', 12], ['20250624_214802', 1], ['20250629_204800', 1]]"
Bell's Vireo,0.5504,,,,,,,,,NA,no,NA
