Common Name,Confidence,"Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare,List of Datetimes
Acadian Flycatcher,0.4691,,,,,,,,,NA,no,NA
Alder Flycatcher,0.9126,3.0,1.0,2.0,2.0,2.0,2.0,4.0,15.0,TBD,no,"[['20250522_061802', 5], ['20250524_061702', 5], ['20250524_071702', 4], ['20250530_081202', 1], ['20250603_071002', 12], ['20250605_050900', 1], ['20250626_080902', 1], ['20250627_051000', 1], ['20250627_071002', 1]]"
American Bittern,0.2741,,,,,,,,,NA,no,NA
American Crow,0.9985,0.0,0.0,0.0,0.0,65.0,205.0,294.0,3421.0,TBD,no,"[['20250515_052600', 19], ['20250515_062602', 29], ['20250515_072602', 21], ['20250515_082602', 1], ['20250516_052500', 138], ['20250516_062502', 18], ['20250516_072502', 86], ['20250516_082502', 1], ['20250517_052300', 3], ['20250517_062302', 3], ['20250517_072302', 1], ['20250518_052200', 42], ['20250518_062202', 6], ['20250518_082202', 109], ['20250519_052100', 3], ['20250519_062102', 28], ['20250519_072102', 1], ['20250519_082102', 382], ['20250520_062002', 10], ['20250520_082002', 3], ['20250521_051900', 9], ['20250521_061902', 42], ['20250521_071902', 31], ['20250521_081902', 23], ['20250522_051800', 13], ['20250522_061802', 81], ['20250522_071802', 82], ['20250522_081802', 59], ['20250523_061702', 44], ['20250523_071702', 105], ['20250523_081702', 21], ['20250524_051700', 118], ['20250524_061702', 116], ['20250524_071702', 29], ['20250524_081702', 9], ['20250525_051600', 243], ['20250525_061602', 323], ['20250525_071602', 88], ['20250525_081602', 128], ['20250526_051500', 30], ['20250526_061502', 100], ['20250526_071502', 3], ['20250527_051400', 2], ['20250527_061402', 31], ['20250527_071402', 21], ['20250528_051300', 40], ['20250528_061302', 24], ['20250529_051300', 4], ['20250529_061302', 2], ['20250529_071302', 15], ['20250529_081302', 30], ['20250530_051200', 2], ['20250530_061202', 5], ['20250530_071202', 11], ['20250531_051200', 5], ['20250531_061202', 10], ['20250531_071202', 3], ['20250601_051100', 6], ['20250601_071102', 6], ['20250601_081102', 2], ['20250602_051000', 8], ['20250602_071002', 7], ['20250603_071002', 2], ['20250603_081002', 5], ['20250604_060902', 3], ['20250604_080902', 53], ['20250605_050900', 4], ['20250605_060902', 8], ['20250605_070902', 12], ['20250605_080902', 2], ['20250606_080902', 13], ['20250607_060802', 21], ['20250607_070802', 5], ['20250607_080802', 6], ['20250608_050800', 7], ['20250608_080802', 1], ['20250610_050800', 63], ['20250610_060802', 12], ['20250610_070802', 47], ['20250610_080802', 7], ['20250611_050700', 17], ['20250611_060702', 72], ['20250611_070702', 53], ['20250611_080702', 24], ['20250612_060702', 23], ['20250612_070702', 60], ['20250612_080702', 4], ['20250613_080702', 22], ['20250614_050700', 27], ['20250614_060702', 3], ['20250614_070702', 77], ['20250614_080702', 9], ['20250615_060702', 1], ['20250615_070702', 17], ['20250615_080702', 68], ['20250617_050700', 33], ['20250617_060702', 7], ['20250617_070702', 2], ['20250617_080702', 4], ['20250618_050700', 3], ['20250618_060702', 1], ['20250618_080702', 9], ['20250619_060702', 1], ['20250619_080702', 11], ['20250620_060702', 5], ['20250620_080702', 1], ['20250621_060802', 16], ['20250621_070802', 3], ['20250623_080802', 1], ['20250625_050900', 21], ['20250625_060902', 99], ['20250625_070902', 5], ['20250627_051000', 1], ['20250627_081002', 112], ['20250628_051000', 1], ['20250628_061002', 47], ['20250628_071002', 3], ['20250629_051100', 1], ['20250629_061102', 8], ['20250629_071102', 1], ['20250629_081102', 6]]"
American Goldfinch,0.9233,0.0,0.0,0.0,0.0,0.0,10.0,24.0,129.0,TBD,no,"[['20250515_062602', 1], ['20250515_072602', 7], ['20250516_052500', 1], ['20250516_072502', 1], ['20250517_062302', 10], ['20250517_072302', 3], ['20250517_082302', 2], ['20250518_082202', 2], ['20250519_072102', 5], ['20250519_082102', 1], ['20250521_081902', 12], ['20250522_071802', 9], ['20250522_081802', 3], ['20250523_061702', 2], ['20250523_071702', 1], ['20250525_081602', 1], ['20250526_051500', 1], ['20250526_081502', 1], ['20250528_061302', 1], ['20250529_061302', 1], ['20250530_051200', 1], ['20250530_071202', 1], ['20250530_081202', 1], ['20250601_071102', 1], ['20250601_081102', 1], ['20250602_071002', 1], ['20250604_080902', 1], ['20250605_050900', 1], ['20250605_060902', 3], ['20250605_080902', 1], ['20250607_050800', 2], ['20250607_060802', 1], ['20250607_070802', 1], ['20250607_080802', 1], ['20250608_060802', 2], ['20250608_070802', 1], ['20250608_204400', 1], ['20250609_050800', 1], ['20250610_060802', 5], ['20250610_080802', 16], ['20250611_060702', 2], ['20250611_070702', 3], ['20250611_080702', 3], ['20250612_060702', 1], ['20250612_080702', 2], ['20250613_060702', 1], ['20250613_080702', 2], ['20250614_080702', 4], ['20250617_060702', 4], ['20250617_070702', 2], ['20250617_080702', 3], ['20250618_070702', 1], ['20250618_080702', 2], ['20250619_080702', 1], ['20250620_080702', 8], ['20250621_070802', 2], ['20250623_060802', 6], ['20250623_070802', 1], ['20250625_060902', 1], ['20250625_070902', 1], ['20250625_080902', 4], ['20250626_080902', 1]]"
American Kestrel,0.2920,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250515_072602', 1]]"
American Redstart,0.7532,0.0,0.0,0.0,0.0,0.0,0.0,9.0,57.0,TBD,no,"[['20250515_072602', 1], ['20250518_072202', 10], ['20250518_082202', 1], ['20250519_062102', 1], ['20250519_082102', 4], ['20250521_081902', 4], ['20250522_051800', 1], ['20250522_061802', 1], ['20250523_051700', 3], ['20250525_071602', 1], ['20250529_061302', 1], ['20250604_070902', 9], ['20250604_080902', 19], ['20250613_060702', 2], ['20250615_070702', 1], ['20250627_061002', 5], ['20250628_071002', 1], ['20250629_081102', 1]]"
American Robin,0.9327,0.0,0.0,0.0,0.0,0.0,0.0,117.0,221.0,TBD,no,"[['20250515_052600', 2], ['20250515_062602', 1], ['20250515_072602', 2], ['20250515_082602', 6], ['20250516_052500', 1], ['20250518_052200', 1], ['20250518_062202', 1], ['20250519_052100', 6], ['20250522_081802', 1], ['20250523_051700', 1], ['20250524_051700', 8], ['20250525_051600', 6], ['20250525_061602', 8], ['20250525_071602', 5], ['20250525_081602', 4], ['20250526_051500', 16], ['20250526_061502', 1], ['20250526_071502', 2], ['20250526_081502', 1], ['20250527_051400', 2], ['20250527_081402', 1], ['20250529_051300', 6], ['20250529_071302', 2], ['20250529_081302', 1], ['20250530_051200', 1], ['20250530_061202', 2], ['20250531_051200', 15], ['20250531_061202', 3], ['20250601_081102', 3], ['20250602_051000', 7], ['20250602_061002', 2], ['20250602_071002', 1], ['20250602_204000', 6], ['20250604_060902', 2], ['20250605_050900', 4], ['20250605_060902', 3], ['20250605_080902', 2], ['20250607_070802', 1], ['20250607_204300', 1], ['20250608_050800', 3], ['20250610_050800', 2], ['20250610_060802', 1], ['20250610_204500', 1], ['20250611_050700', 1], ['20250611_060702', 1], ['20250611_070702', 1], ['20250614_050700', 1], ['20250614_080702', 1], ['20250615_070702', 1], ['20250615_080702', 1], ['20250617_204900', 13], ['20250618_060702', 1], ['20250618_080702', 1], ['20250618_204900', 1], ['20250619_060702', 2], ['20250619_070702', 1], ['20250619_080702', 4], ['20250620_050700', 1], ['20250620_070702', 1], ['20250620_080702', 11], ['20250621_050800', 1], ['20250621_060802', 8], ['20250621_070802', 1], ['20250621_205000', 2], ['20250622_060802', 3], ['20250622_080802', 7], ['20250623_050800', 22], ['20250623_060802', 10], ['20250623_070802', 9], ['20250623_080802', 6], ['20250624_060902', 4], ['20250624_070902', 1], ['20250624_080902', 2], ['20250625_080902', 3], ['20250627_061002', 3], ['20250627_071002', 8], ['20250627_081002', 5], ['20250628_071002', 1], ['20250628_205000', 1], ['20250629_051100', 1], ['20250629_061102', 13], ['20250629_071102', 23], ['20250629_081102', 16]]"
American Woodcock,0.8131,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TBD,no,"[['20250616_214802', 1]]"
Bald Eagle,0.4967,,,,,,,,,NA,no,NA
