Common Name,Confidence,"Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare,List of Datetimes
Alder Flycatcher,0.6195,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TBD,no,"[['20250619_081102', 1]]"
American Bittern,0.7981,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250607_051200', 1]]"
American Crow,0.7340,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,TBD,no,"[['20250521_052200', 3], ['20250522_052100', 2], ['20250604_051300', 1]]"
American Goldfinch,0.9998,0.0,0.0,0.0,0.0,0.0,12.0,41.0,397.0,TBD,no,"[['20250518_062502', 1], ['20250521_062202', 1], ['20250521_082202', 1], ['20250522_052100', 1], ['20250522_062102', 1], ['20250522_072102', 5], ['20250522_082102', 3], ['20250523_052100', 2], ['20250523_062102', 16], ['20250523_072102', 5], ['20250523_082102', 18], ['20250524_062002', 10], ['20250524_072002', 4], ['20250524_082002', 2], ['20250525_061902', 5], ['20250525_081902', 6], ['20250526_051800', 5], ['20250526_061802', 7], ['20250526_071802', 13], ['20250527_061702', 1], ['20250527_071702', 2], ['20250527_081702', 2], ['20250528_051700', 1], ['20250528_061702', 10], ['20250528_081702', 1], ['20250529_051600', 5], ['20250529_061602', 1], ['20250529_071602', 5], ['20250529_081602', 13], ['20250530_051500', 1], ['20250530_061502', 12], ['20250530_071502', 13], ['20250530_081502', 14], ['20250531_051500', 1], ['20250531_061502', 4], ['20250531_081502', 21], ['20250601_061402', 6], ['20250601_071402', 3], ['20250601_081402', 26], ['20250602_051400', 5], ['20250602_061402', 20], ['20250602_071402', 2], ['20250603_081302', 1], ['20250604_051300', 8], ['20250604_061302', 7], ['20250604_071302', 1], ['20250605_051200', 1], ['20250605_061202', 7], ['20250605_071202', 18], ['20250605_081202', 4], ['20250606_051200', 2], ['20250606_061202', 1], ['20250606_071202', 2], ['20250606_204100', 3], ['20250607_061202', 1], ['20250607_081202', 2], ['20250607_204200', 1], ['20250608_051100', 2], ['20250608_061102', 1], ['20250609_071102', 5], ['20250610_061102', 11], ['20250610_081102', 3], ['20250611_051100', 1], ['20250611_061102', 3], ['20250611_071102', 1], ['20250612_081102', 3], ['20250613_061102', 2], ['20250613_071102', 1], ['20250613_081102', 1], ['20250615_204600', 1], ['20250616_081002', 25], ['20250617_051100', 3], ['20250617_071102', 2], ['20250618_051100', 2], ['20250618_061102', 23], ['20250618_071102', 2], ['20250618_081102', 13], ['20250619_051100', 1], ['20250619_061102', 5], ['20250619_071102', 1], ['20250621_061102', 4]]"
American Robin,0.7795,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,TBD,no,"[['20250531_081502', 1], ['20250603_203900', 2], ['20250617_051100', 1]]"
American Woodcock,0.8982,2.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,TBD,no,"[['20250517_082602', 1], ['20250518_062502', 1], ['20250518_082502', 1], ['20250522_082102', 1], ['20250603_081302', 2], ['20250611_061102', 1], ['20250613_061102', 1], ['20250614_061002', 1], ['20250615_061002', 1], ['20250620_051100', 1]]"
Baltimore Oriole,0.3240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TBD,no,"[['20250604_051300', 1]]"
Bank Swallow,0.9611,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,TBD,no,"[['20250523_072102', 2], ['20250523_082102', 2], ['20250525_071902', 1], ['20250525_081902', 2]]"
Barn Swallow,0.9648,0.0,0.0,0.0,3.0,13.0,13.0,23.0,24.0,TBD,no,"[['20250515_082802', 1], ['20250522_082102', 1], ['20250523_072102', 6], ['20250523_082102', 1], ['20250524_082002', 1], ['20250525_061902', 1], ['20250525_071902', 2], ['20250525_081902', 6], ['20250526_051800', 1], ['20250526_061802', 1], ['20250526_081802', 1], ['20250528_071702', 3], ['20250529_051600', 4], ['20250529_061602', 1], ['20250530_081502', 2], ['20250531_051500', 1], ['20250531_061502', 1], ['20250531_071502', 1], ['20250601_051400', 1], ['20250601_081402', 2], ['20250603_081302', 1], ['20250604_061302', 1], ['20250604_204000', 1], ['20250605_071202', 1], ['20250606_071202', 1], ['20250607_061202', 1], ['20250607_071202', 1], ['20250607_081202', 1], ['20250608_051100', 1], ['20250608_071102', 2], ['20250608_081102', 1], ['20250608_204300', 1], ['20250609_071102', 2], ['20250610_071102', 1], ['20250610_081102', 1], ['20250611_051100', 1], ['20250611_061102', 1], ['20250612_051100', 1], ['20250612_071102', 2], ['20250612_081102', 1], ['20250613_051100', 1], ['20250613_071102', 1], ['20250614_071002', 3], ['20250614_081002', 4], ['20250616_081002', 1], ['20250617_204700', 1], ['20250618_081102', 1], ['20250619_061102', 1], ['20250619_081102', 1], ['20250620_204800', 1]]"
Barred Owl,0.6324,,,,,,,,,NA,no,NA
