ARU,Lat,Long,"Forest, Grassland,",Isolated or Embedded,Public or Private,Township Lat,Township Long
09366,44.05860306,-92.07702774,F,E,Public,44.0578346,-92.0454115
09370,44.85942837,-94.11044158,G,I,Public,44.8766364,-94.0847275
09372,43.86979877,-92.8486021,G,I,Public,43.8632934,-92.8590092
09391,44.35865,-93.09825,F,E,Public,44.3419282,-93.0678787
09396,45.003388,-92.783634,G,I,Public,45.0184267,-92.7797869
09400,45.24459053,-94.5150374,F,I,Public,45.2465036,-94.5467797
09413,43.9338,-95.72107,G,I,Public,43.9761317,-95.7184163
09420,45.186726,-92.862253,F,E,Public,45.1957065,-92.8552884
09429,44.05619946,-92.07481083,G,I,Public,44.0347291,-92.0694475
09431,44.12589,-94.35047,G,I,Public,44.0830597,-94.3497782
09437,45.003,-93.574,F,I,Public,44.9865538,-93.5715956
09449,44.554668,-92.592911,F,E,Public,44.5628775,-92.5589676
09742,45.62525885,-92.96509776,F,E,Public,45.6340323,-92.9922556
09801,44.86122799,-94.11025438,F,I,Public,44.8329613,-94.0914129
09844,44.271027,-92.407218,G,E,Public,44.283694,-92.4243636
09887,44.49442364,-94.9036132,F,I,Public,44.5312566,-94.8819973
12666,45.33557986,-96.36289314,G,E,Public,45.3121159,-96.3693104
12753,44.50478874,-94.90201428,F,I,Public,44.5062329,-94.8600469
12838,44.789852,-92.958201,G,I,Public,44.8276541,-92.942718
12865,45.24489509,-94.52298568,G,I,Public,45.2521697,-94.5466431
14256,43.9666,-94.06225,G,I,Public,44.00477,-94.0659817
14687,45.00048,-92.785137,F,I,Public,44.9629812,-92.7731542
16493,44.1234,-96.15267,G,E,Public,44.0922393,-96.1870399
16500,45.41843764,-94.6795718,G,E,Public,45.433739,-94.6398997
16502,44.68142,-96.11707,G,E,Public,44.7030327,-96.0937199
16504,43.95239555,-91.4102263,F,E,Public,43.9258153,-91.4395948
16505,43.78952723,-91.80487103,F,E,Public,43.7862864,-91.832422
16506,44.259617,-91.930769,G,E,Public,44.2215961,-91.9336782
16509,44.09577,-95.07601,G,I,Public,44.122274,-95.1004032
16510,43.9572649,-91.41000176,G,I,Public,43.979306,-91.4295668
16512,44.12694,-93.65846,F,I,Public,44.1183486,-93.7076204
16513,43.76975139,-91.42993702,F,E,Public,43.7589824,-91.3801621
16577,43.79621445,-92.21153357,G,I,Public,43.8333477,-92.16578008
16583,43.77209377,-91.4317847,G,I,Public,43.76489,-91.4505016
16591,45.62123827,-92.96750048,G,I,Public,45.615556,-92.9923412
16592,44.138217,-92.494796,G,E,Public,44.1415584,-92.527137
16593,45.74567263,-96.00309492,G,E,Public,45.7303138,-96.0059539
16599,45.02796085,-95.80324673,F,I,Public,45.0091644,-95.8010431
16601,43.73492143,-92.83650031,G,I,Public,43.7407902,-92.8692822
16662,45.275209,-92.772182,F,E,Public,45.2533748,-92.8062657
16514,45.41459357,-93.71874972,F,E,Public,45.4440645,-93.7360016
