Site,Average_Detections_Per_Day
09411,1414.1063829787233
09428,1465.3428571428572
09432,1219.9772727272727
09319,1179.4468085106382
09474,1162.9574468085107
09263,2540.3478260869565
09483,859.5
09441,1187.9148936170213
09492,1069.9130434782608
09484,2474.1063829787236
09488,423.1515151515151
09439,1009.5217391304348
09358,1170.6888888888889
09361,1049.127659574468
09380,553.4468085106383
09423,1148.695652173913
09416,1707.5526315789473
09377,440.27272727272725
09451,972.9130434782609
09493,825.9574468085107
09472,643.4318181818181
09447,1053.7560975609756
09485,1187.3191489361702
09489,742.45
09910,1585.340425531915
09397,1522.6170212765958
09355,1055.595744680851
09434,512.0666666666667
09376,1901.7586206896551
09422,1665.2093023255813
09425,1348.127659574468
07618,941.0851063829788
09410,1115.8181818181818
09371,494.84444444444443
09440,1282.0
09479,758.4893617021277
09498,1087.5217391304348
09324,1258.8085106382978
09290,1973.8510638297873
09487,2063.75
09271,681.2553191489362
09453,866.2894736842105
09491,1962.1627906976744
09378,1150.276595744681
09374,1421.5714285714287
09383,943.0425531914893
09403,943.4255319148937
09399,1142.9130434782608
09392,1129.9574468085107
09369,2282.8888888888887
09404,692.7173913043479
09903,3037.8478260869565
09412,1314.2
09335,1487.5106382978724
09477,1064.404255319149
09430,866.0425531914893
09385,1931.6222222222223
09389,1851.8297872340424
09497,977.4
09338,2269.978260869565
09500,1164.3333333333333
10926,2388.6382978723404
09322,1874.4888888888888
09486,916.5294117647059
09448,554.0681818181819
09471,2547.05
09452,1192.7333333333333
09287,629.936170212766
09490,1265.2826086956522
09905,702.8695652173913
09379,733.2127659574468
09418,2162.7872340425533
09375,1216.7777777777778
09414,3272.288888888889
09398,2604.5813953488373
09402,2914.2444444444445
