Common Name,Confidence,"Number of Instances, 50% Confidence","Number of Instances, 55% Confidence","Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare
Acadian Flycatcher,0.7881,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TBD,no
Alder Flycatcher,0.9901,26.0,24.0,23.0,36.0,28.0,41.0,46.0,60.0,96.0,597.0,TBD,no
American Bittern,0.8104,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
American Crow,0.9937,0.0,0.0,0.0,0.0,0.0,0.0,26.0,56.0,77.0,861.0,TBD,no
American Goldfinch,0.8977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,46.0,169.0,TBD,no
American Kestrel,0.5908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TBD,no
American Redstart,0.3860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,TBD,no
American Robin,0.9515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,412.0,TBD,no
American Woodcock,0.8366,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,TBD,no
Bald Eagle,0.4242,,,,,,,,,,,NA,no
Baltimore Oriole,0.7646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,TBD,no
Barn Swallow,0.9435,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,10.0,TBD,no
Barred Owl,0.9370,3.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,TBD,no
Bell's Vireo,0.5546,,,,,,,,,,,NA,no
Belted Kingfisher,0.9998,2.0,1.0,5.0,4.0,5.0,3.0,9.0,25.0,0.0,0.0,TBD,no
Black Tern,0.3430,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Black-and-white Warbler,0.2840,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Black-billed Cuckoo,0.9999,3.0,1.0,0.0,2.0,2.0,3.0,2.0,6.0,84.0,0.0,TBD,no
