Common Name,Confidence,"Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare,List of Datetimes
Acadian Flycatcher,0.7749,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250522_062102', 1]]"
Alder Flycatcher,0.6367,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,TBD,no,"[['20250530_071502', 2]]"
American Crow,0.9987,0.0,0.0,0.0,0.0,145.0,386.0,570.0,5693.0,TBD,no,"[['20250515_052800', 23], ['20250515_062802', 5], ['20250515_072802', 13], ['20250515_082802', 8], ['20250516_052700', 48], ['20250516_062702', 20], ['20250516_072702', 11], ['20250516_082702', 1], ['20250517_052600', 17], ['20250517_062602', 20], ['20250517_072602', 69], ['20250517_082602', 30], ['20250518_052500', 69], ['20250518_062502', 48], ['20250518_072502', 83], ['20250518_082502', 50], ['20250519_052400', 98], ['20250519_062402', 44], ['20250519_072402', 6], ['20250519_082402', 1], ['20250520_052300', 14], ['20250520_082302', 22], ['20250521_052200', 8], ['20250521_062202', 46], ['20250521_072202', 3], ['20250521_082202', 8], ['20250522_052100', 24], ['20250522_062102', 60], ['20250522_072102', 12], ['20250522_082102', 113], ['20250523_052100', 117], ['20250523_062102', 24], ['20250523_072102', 32], ['20250523_082102', 34], ['20250524_052000', 48], ['20250524_062002', 8], ['20250524_072002', 26], ['20250524_082002', 17], ['20250525_051900', 103], ['20250525_061902', 98], ['20250525_071902', 184], ['20250525_081902', 18], ['20250526_051800', 185], ['20250526_061802', 100], ['20250526_071802', 29], ['20250526_081802', 5], ['20250527_051700', 359], ['20250527_061702', 41], ['20250527_071702', 101], ['20250527_081702', 35], ['20250528_051700', 25], ['20250528_061702', 90], ['20250528_071702', 20], ['20250528_081702', 47], ['20250529_051600', 49], ['20250529_061602', 42], ['20250529_071602', 36], ['20250529_081602', 7], ['20250530_051500', 116], ['20250530_061502', 24], ['20250530_071502', 11], ['20250530_081502', 31], ['20250531_051500', 190], ['20250531_061502', 130], ['20250531_071502', 58], ['20250531_081502', 10], ['20250601_051400', 271], ['20250601_061402', 117], ['20250601_071402', 156], ['20250601_081402', 37], ['20250602_051400', 34], ['20250602_061402', 26], ['20250602_071402', 3], ['20250602_081402', 10], ['20250603_051300', 2], ['20250603_061302', 22], ['20250603_071302', 10], ['20250604_051300', 202], ['20250604_061302', 325], ['20250604_071302', 81], ['20250604_081302', 13], ['20250605_051200', 160], ['20250605_061202', 238], ['20250605_071202', 29], ['20250605_081202', 2], ['20250606_051200', 1], ['20250606_071202', 6], ['20250606_081202', 24], ['20250607_051200', 5], ['20250607_061202', 26], ['20250607_071202', 46], ['20250607_081202', 22], ['20250608_051100', 86], ['20250608_061102', 14], ['20250609_051100', 7], ['20250609_061102', 9], ['20250609_071102', 52], ['20250609_081102', 33], ['20250610_051100', 76], ['20250610_061102', 108], ['20250610_071102', 25], ['20250610_081102', 36], ['20250611_051100', 26], ['20250611_061102', 1], ['20250611_071102', 34], ['20250611_081102', 58], ['20250612_051100', 1], ['20250612_061102', 2], ['20250612_071102', 18], ['20250612_081102', 4], ['20250613_051100', 2], ['20250613_061102', 2], ['20250613_071102', 1], ['20250613_081102', 43], ['20250614_051000', 15], ['20250614_061002', 11], ['20250614_071002', 6], ['20250615_051000', 2], ['20250615_061002', 43], ['20250615_071002', 16], ['20250615_081002', 9], ['20250616_051000', 6], ['20250616_061002', 20], ['20250617_051100', 16], ['20250617_061102', 4], ['20250617_071102', 164], ['20250617_081102', 1], ['20250618_051100', 92], ['20250618_061102', 38], ['20250618_071102', 3], ['20250618_081102', 13], ['20250619_051100', 167], ['20250619_061102', 98], ['20250619_071102', 76], ['20250619_081102', 44], ['20250620_051100', 1], ['20250620_071102', 5], ['20250620_081102', 11], ['20250621_071102', 3]]"
American Goldfinch,0.8955,0.0,0.0,0.0,0.0,0.0,5.0,10.0,43.0,TBD,no,"[['20250515_062802', 2], ['20250515_072802', 1], ['20250516_052700', 11], ['20250516_062702', 1], ['20250518_052500', 2], ['20250522_052100', 1], ['20250523_052100', 1], ['20250524_072002', 1], ['20250525_051900', 1], ['20250525_071902', 1], ['20250525_081902', 1], ['20250527_081702', 1], ['20250528_061702', 2], ['20250528_071702', 4], ['20250529_071602', 2], ['20250601_051400', 2], ['20250601_061402', 2], ['20250601_081402', 1], ['20250602_061402', 5], ['20250602_071402', 2], ['20250602_081402', 1], ['20250605_061202', 1], ['20250607_061202', 1], ['20250607_071202', 1], ['20250608_071102', 1], ['20250610_081102', 3], ['20250611_051100', 1], ['20250611_081102', 1], ['20250613_081102', 1], ['20250618_081102', 3]]"
American Redstart,0.9870,0.0,0.0,0.0,0.0,0.0,0.0,163.0,828.0,TBD,no,"[['20250516_052700', 3], ['20250516_062702', 2], ['20250517_052600', 1], ['20250517_062602', 15], ['20250517_072602', 15], ['20250517_082602', 15], ['20250518_052500', 14], ['20250518_062502', 10], ['20250518_072502', 28], ['20250518_082502', 7], ['20250519_052400', 1], ['20250519_062402', 39], ['20250519_072402', 31], ['20250521_052200', 49], ['20250521_062202', 118], ['20250521_072202', 80], ['20250521_082202', 88], ['20250522_052100', 121], ['20250522_062102', 48], ['20250522_072102', 19], ['20250522_082102', 73], ['20250523_072102', 12], ['20250523_082102', 62], ['20250524_052000', 3], ['20250524_062002', 53], ['20250524_072002', 6], ['20250525_071902', 2], ['20250526_081802', 2], ['20250531_061502', 5], ['20250614_051000', 5], ['20250614_061002', 11], ['20250614_071002', 20], ['20250617_051100', 1], ['20250618_071102', 1], ['20250619_081102', 1], ['20250620_081102', 30]]"
American Robin,0.8409,0.0,0.0,0.0,0.0,0.0,0.0,27.0,81.0,TBD,no,"[['20250518_062502', 1], ['20250524_052000', 2], ['20250524_082002', 1], ['20250525_051900', 4], ['20250525_081902', 1], ['20250526_061802', 2], ['20250528_061702', 2], ['20250531_051500', 7], ['20250531_061502', 4], ['20250601_051400', 1], ['20250601_061402', 3], ['20250604_051300', 2], ['20250604_061302', 1], ['20250605_051200', 2], ['20250605_061202', 1], ['20250605_071202', 1], ['20250615_204600', 2], ['20250618_051100', 11], ['20250618_061102', 7], ['20250618_071102', 5], ['20250618_081102', 2], ['20250619_051100', 13], ['20250619_061102', 28], ['20250619_071102', 4], ['20250619_081102', 1]]"
American Woodcock,0.5229,,,,,,,,,NA,no,NA
Bald Eagle,0.7403,,,,,,,,,NA,no,NA
Baltimore Oriole,0.9677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,TBD,no,"[['20250516_052700', 1], ['20250516_082702', 3], ['20250518_052500', 1], ['20250518_062502', 3], ['20250522_052100', 17], ['20250522_062102', 3], ['20250522_072102', 1], ['20250523_052100', 1], ['20250526_081802', 3], ['20250528_051700', 1], ['20250529_061602', 1], ['20250530_051500', 3], ['20250602_061402', 1], ['20250605_071202', 1], ['20250606_081202', 1], ['20250610_071102', 1], ['20250612_061102', 1]]"
Barn Swallow,0.7653,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,TBD,no,"[['20250515_072802', 1], ['20250515_082802', 1], ['20250523_082102', 1], ['20250524_082002', 1], ['20250601_061402', 2], ['20250605_061202', 1], ['20250608_081102', 1]]"
