Common Name,Confidence,"Number of Instances, 50% Confidence","Number of Instances, 55% Confidence","Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare
Alder Flycatcher,0.7135,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,TBD,no
American Bittern,0.9983,17.0,22.0,12.0,20.0,16.0,26.0,39.0,45.0,85.0,14.0,TBD,no
American Goldfinch,0.9929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,146.0,TBD,no
American Redstart,0.4030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,TBD,no
American Robin,0.8948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,117.0,TBD,no
American Woodcock,0.6731,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TBD,no
Baltimore Oriole,0.3839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TBD,no
Barn Swallow,0.9421,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,4.0,19.0,TBD,no
Barred Owl,0.9832,1.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,TBD,no
Bell's Vireo,0.6752,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Belted Kingfisher,0.4752,,,,,,,,,,,NA,no
Black Tern,0.9984,1.0,3.0,3.0,3.0,0.0,1.0,2.0,3.0,2.0,6.0,TBD,no
Black-billed Cuckoo,0.9992,6.0,2.0,4.0,6.0,6.0,6.0,14.0,22.0,45.0,0.0,TBD,no
Black-capped Chickadee,0.3036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,TBD,no
Black-throated Green Warbler,0.3515,,,,,,,,,,,NA,no
Blackpoll Warbler,0.7015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TBD,no
Blue Grosbeak,0.4919,,,,,,,,,,,NA,no
Blue-winged Warbler,0.4586,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Bobolink,1.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4084.0,TBD,no
Brown-headed Cowbird,0.9901,0.0,0.0,0.0,0.0,0.0,0.0,20.0,49.0,78.0,213.0,TBD,no
Canada Goose,0.9680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,TBD,no
Cedar Waxwing,0.4920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TBD,no
Chimney Swift,0.8847,0.0,1.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,TBD,no
Common Grackle,0.9058,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,11.0,14.0,TBD,no
Common Loon,0.9741,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,TBD,no
Common Nighthawk,0.9775,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,TBD,no
Common Raven,0.6023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Common Yellowthroat,0.9411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,TBD,no
Dickcissel,0.8698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,TBD,no
Eastern Bluebird,0.4827,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Eastern Kingbird,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,154.0,222.0,374.0,908.0,TBD,no
Eastern Meadowlark,0.5416,0.0,0.0,0.0,0.0,7.0,4.0,3.0,3.0,3.0,0.0,TBD,no
Eastern Wood-Pewee,0.6670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TBD,no
Field Sparrow,0.4216,,,,,,,,,,,NA,no
Forster's Tern,0.9118,,,,,,,,,,,2,yes
Golden-crowned Kinglet,0.4614,,,,,,,,,,,NA,no
Golden-winged Warbler,0.8857,3.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,TBD,no
Grasshopper Sparrow,0.6624,55.0,20.0,14.0,4.0,2.0,2.0,3.0,1.0,0.0,0.0,TBD,no
Great Blue Heron,0.8236,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,TBD,no
Great Crested Flycatcher,0.8972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,14.0,TBD,no
Great Horned Owl,0.9977,2.0,0.0,3.0,3.0,4.0,2.0,1.0,2.0,0.0,0.0,TBD,no
Green Heron,0.3334,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Hairy Woodpecker,0.9518,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,TBD,no
Henslow's Sparrow,0.9998,729.0,701.0,722.0,774.0,809.0,945.0,1241.0,1687.0,3135.0,25901.0,TBD,no
House Finch,0.4793,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
