Common Name,Confidence,"Number of Instances, 50% Confidence","Number of Instances, 55% Confidence","Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare
Alder Flycatcher,0.2678,,,,,,,,,,,NA,no
American Bittern,0.7135,,,,,,,,,,,NA,no
American Crow,0.5650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TBD,no
American Goldfinch,0.8619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,TBD,no
American Kestrel,0.9964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TBD,no
American Robin,0.7130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TBD,no
American Woodcock,0.6886,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TBD,no
Barn Swallow,0.9660,0.0,0.0,0.0,0.0,0.0,11.0,16.0,13.0,14.0,10.0,TBD,no
Barred Owl,0.9638,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,TBD,no
Bell's Vireo,0.9526,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,TBD,no
Belted Kingfisher,0.8167,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TBD,no
Black Tern,0.3379,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Black-billed Cuckoo,0.8943,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,TBD,no
Black-crowned Night-Heron,0.9912,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TBD,no
Black-throated Green Warbler,0.3143,,,,,,,,,,,NA,no
Blackpoll Warbler,0.5460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TBD,no
Blue Grosbeak,0.3527,,,,,,,,,,,NA,no
Bobolink,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46885.0,TBD,no
Brown-headed Cowbird,0.9894,0.0,0.0,0.0,0.0,0.0,0.0,21.0,55.0,67.0,176.0,TBD,no
Canada Goose,0.8784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,TBD,no
Chimney Swift,0.8707,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,TBD,no
Common Grackle,0.9229,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,5.0,TBD,no
Common Loon,0.9240,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,TBD,no
Common Nighthawk,0.9092,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TBD,no
Common Raven,0.4482,,,,,,,,,,,NA,no
Common Yellowthroat,0.9122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,TBD,no
Connecticut Warbler,0.2866,,,,,,,,,,,NA,no
Dickcissel,0.9981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14899.0,TBD,no
Eastern Bluebird,0.7062,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TBD,no
Eastern Kingbird,0.6219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,TBD,no
Eastern Meadowlark,0.9994,0.0,0.0,0.0,3.0,243.0,240.0,268.0,310.0,483.0,2570.0,TBD,no
Eastern Wood-Pewee,0.8466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,TBD,no
