Common Name,Confidence,"Number of Instances, 50% Confidence","Number of Instances, 55% Confidence","Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare
Alder Flycatcher,0.7044,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,TBD,no
American Bittern,0.2609,,,,,,,,,,,NA,no
American Crow,0.9973,0.0,0.0,0.0,0.0,0.0,0.0,41.0,130.0,167.0,2344.0,TBD,no
American Goldfinch,0.8088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,21.0,TBD,no
American Redstart,0.9813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,93.0,TBD,no
American Robin,0.9193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,413.0,TBD,no
American Woodcock,0.3137,,,,,,,,,,,NA,no
Baltimore Oriole,0.9896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,802.0,TBD,no
Barred Owl,0.9995,2.0,8.0,5.0,5.0,10.0,6.0,5.0,13.0,31.0,0.0,TBD,no
Belted Kingfisher,0.9989,4.0,9.0,8.0,7.0,7.0,3.0,3.0,6.0,0.0,0.0,TBD,no
Black-and-white Warbler,0.6701,0.0,2.0,10.0,6.0,1.0,4.0,3.0,0.0,0.0,1.0,TBD,no
Black-billed Cuckoo,0.9996,2.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,26.0,0.0,TBD,no
Black-capped Chickadee,0.9899,0.0,0.0,0.0,0.0,0.0,0.0,212.0,284.0,349.0,771.0,TBD,no
Black-throated Blue Warbler,0.4869,,,,,,,,,,,NA,no
Black-throated Green Warbler,0.8596,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,TBD,no
Blackburnian Warbler,0.5676,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Blackpoll Warbler,0.9958,0.0,0.0,0.0,0.0,0.0,0.0,8.0,23.0,29.0,154.0,TBD,no
Blue Jay,0.9956,0.0,0.0,0.0,0.0,0.0,0.0,22.0,51.0,94.0,2198.0,TBD,no
Blue-winged Warbler,0.9974,74.0,87.0,75.0,83.0,78.0,90.0,135.0,154.0,293.0,2353.0,TBD,no
Broad-winged Hawk,0.9981,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Brown Creeper,0.4947,,,,,,,,,,,NA,no
Brown Thrasher,0.9505,19.0,14.0,14.0,9.0,15.0,6.0,8.0,9.0,8.0,4.0,TBD,no
Brown-headed Cowbird,0.9832,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,15.0,35.0,TBD,no
Canada Goose,0.9784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,TBD,no
Canada Warbler,0.9908,5.0,3.0,4.0,6.0,4.0,4.0,2.0,3.0,3.0,6.0,TBD,no
Cedar Waxwing,0.9581,0.0,0.0,0.0,0.0,0.0,14.0,13.0,14.0,9.0,30.0,TBD,no
Common Loon,0.7169,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Common Raven,0.6957,4.0,3.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,TBD,no
Common Yellowthroat,0.7098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,TBD,no
Eastern Bluebird,0.9601,6.0,3.0,3.0,4.0,2.0,1.0,0.0,1.0,4.0,3.0,TBD,no
Eastern Phoebe,0.9034,5.0,7.0,5.0,3.0,5.0,3.0,4.0,8.0,1.0,0.0,TBD,no
Eastern Whip-poor-will,0.9100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,34.0,11.0,TBD,no
Eastern Wood-Pewee,0.9987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4679.0,TBD,no
Field Sparrow,0.9812,,,,,,,,,,,NA,no
