Common Name,Confidence,"Number of Instances, 50% Confidence","Number of Instances, 55% Confidence","Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare
Alder Flycatcher,0.9141,1.0,5.0,5.0,4.0,0.0,3.0,3.0,2.0,3.0,9.0,TBD,no
American Bittern,0.6957,,,,,,,,,,,NA,no
American Crow,0.9774,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,15.0,165.0,TBD,no
American Goldfinch,0.9964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,55.0,572.0,TBD,no
American Kestrel,0.3121,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,TBD,no
American Robin,0.9815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,1090.0,TBD,no
American Woodcock,0.7339,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,TBD,no
Baltimore Oriole,0.5963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,TBD,no
Barn Swallow,0.9598,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,4.0,22.0,TBD,no
Barred Owl,0.9872,5.0,6.0,5.0,5.0,2.0,4.0,5.0,3.0,1.0,0.0,TBD,no
Belted Kingfisher,0.9999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,TBD,no
Black-billed Cuckoo,0.8967,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TBD,no
Blackpoll Warbler,0.7843,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,9.0,4.0,TBD,no
Blue Grosbeak,0.9402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TBD,no
Blue Jay,0.4665,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,18.0,TBD,no
Blue-winged Warbler,0.6552,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,TBD,no
Brown Thrasher,0.8046,1.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,0.0,TBD,no
Brown-headed Cowbird,0.9474,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,20.0,34.0,TBD,no
Canada Goose,0.8996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,TBD,no
Cedar Waxwing,0.8741,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,TBD,no
Common Loon,0.3832,,,,,,,,,,,NA,no
Common Raven,0.5159,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Common Yellowthroat,0.9472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,TBD,no
Dickcissel,0.9989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54662.0,TBD,no
Eastern Bluebird,0.9303,1.0,6.0,2.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,TBD,no
Eastern Meadowlark,0.3740,0.0,0.0,0.0,0.0,6.0,7.0,5.0,0.0,0.0,0.0,TBD,no
Field Sparrow,0.7544,,,,,,,,,,,NA,no
Golden-winged Warbler,0.8009,1.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,TBD,no
Great Horned Owl,0.9638,1.0,3.0,2.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,TBD,no
Green Heron,0.7849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,TBD,no
House Wren,0.2549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TBD,no
Killdeer,0.9926,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,11.0,44.0,TBD,no
Lark Sparrow,0.9331,17.0,15.0,10.0,7.0,6.0,5.0,1.0,8.0,11.0,4.0,TBD,no
Mallard,0.9633,0.0,0.0,0.0,1.0,2.0,3.0,5.0,3.0,8.0,4.0,TBD,no
Mourning Dove,0.7848,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,133.0,TBD,no
Nashville Warbler,0.2965,,,,,,,,,,,NA,no
Northern Cardinal,0.4958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,TBD,no
Red-headed Woodpecker,0.7658,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TBD,no
Red-tailed Hawk,0.3896,,,,,,,,,,,NA,no
Red-winged Blackbird,0.5630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,TBD,no
Ring-necked Pheasant,1.0000,0.0,0.0,0.0,0.0,0.0,16.0,115.0,138.0,188.0,1908.0,TBD,no
Rose-breasted Grosbeak,0.8985,0.0,0.0,0.0,0.0,13.0,14.0,14.0,7.0,5.0,0.0,TBD,no
Sandhill Crane,0.7999,4.0,4.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,TBD,no
Savannah Sparrow,0.7781,0.0,0.0,35.0,33.0,16.0,8.0,12.0,6.0,6.0,0.0,TBD,no
Song Sparrow,0.9404,,,,,,,,,,,NA,no
Sora,0.3353,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
