Common Name,Confidence,"Number of Instances, 50% Confidence","Number of Instances, 55% Confidence","Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare
Alder Flycatcher,0.8497,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,TBD,no
American Bittern,0.5055,,,,,,,,,,,NA,no
American Crow,0.9816,0.0,0.0,0.0,0.0,0.0,0.0,17.0,53.0,75.0,642.0,TBD,no
American Goldfinch,0.9961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,94.0,755.0,TBD,no
American Redstart,0.3451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TBD,no
American Robin,0.9355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,439.0,TBD,no
American Woodcock,0.8588,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,TBD,no
Baltimore Oriole,0.9409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,TBD,no
Barn Swallow,0.8065,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,TBD,no
Barred Owl,0.9997,4.0,3.0,3.0,2.0,4.0,9.0,6.0,9.0,18.0,0.0,TBD,no
Belted Kingfisher,0.9999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,TBD,no
Black-and-white Warbler,0.4435,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TBD,no
Black-billed Cuckoo,0.9999,7.0,2.0,5.0,16.0,21.0,22.0,37.0,136.0,845.0,0.0,TBD,no
Black-capped Chickadee,0.8420,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,6.0,8.0,TBD,no
Black-throated Green Warbler,0.4817,,,,,,,,,,,NA,no
Blackpoll Warbler,0.2676,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TBD,no
Blue Grosbeak,0.5036,,,,,,,,,,,NA,no
Blue Jay,0.9435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,101.0,TBD,no
Blue-winged Warbler,0.9954,85.0,99.0,63.0,69.0,79.0,81.0,94.0,111.0,150.0,299.0,TBD,no
Broad-winged Hawk,0.5347,,,,,,,,,,,NA,no
Brown Creeper,0.7554,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Brown Thrasher,0.7871,0.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,TBD,no
Brown-headed Cowbird,0.9903,0.0,0.0,0.0,0.0,0.0,0.0,14.0,63.0,51.0,139.0,TBD,no
Canada Goose,0.7900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,TBD,no
Cedar Waxwing,0.9868,0.0,0.0,0.0,0.0,0.0,52.0,73.0,63.0,64.0,116.0,TBD,no
Common Loon,0.8720,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,TBD,no
Common Yellowthroat,0.7604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,TBD,no
Dickcissel,0.8021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,TBD,no
Eastern Bluebird,0.9997,35.0,17.0,25.0,32.0,29.0,30.0,39.0,58.0,78.0,181.0,TBD,no
Eastern Meadowlark,0.8612,0.0,0.0,0.0,0.0,26.0,22.0,11.0,15.0,7.0,7.0,TBD,no
Eastern Phoebe,0.2668,,,,,,,,,,,NA,no
