Common Name,Confidence,"Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare,List of Datetimes
Acadian Flycatcher,0.8225,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,TBD,no,"[['20250519_062402', 1], ['20250524_072002', 1], ['20250603_051300', 2]]"
Alder Flycatcher,0.9764,2.0,4.0,5.0,5.0,4.0,16.0,13.0,89.0,TBD,no,"[['20250526_071802', 1], ['20250526_081802', 18], ['20250529_061602', 5], ['20250529_071602', 1], ['20250529_081602', 1], ['20250530_061502', 1], ['20250530_081502', 4], ['20250531_061502', 44], ['20250601_061402', 11], ['20250601_071402', 50], ['20250604_071302', 1], ['20250605_051200', 1]]"
American Bittern,0.8678,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TBD,no,"[['20250520_082302', 1]]"
American Crow,0.6699,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,TBD,no,"[['20250525_061902', 1], ['20250528_071702', 1], ['20250605_061202', 3], ['20250605_071202', 2], ['20250606_071202', 2], ['20250606_081202', 2], ['20250609_061102', 7]]"
American Goldfinch,0.9661,0.0,0.0,0.0,0.0,0.0,5.0,13.0,87.0,TBD,no,"[['20250515_062802', 1], ['20250515_072802', 1], ['20250515_082802', 2], ['20250517_062602', 1], ['20250517_082602', 2], ['20250519_062402', 1], ['20250519_072402', 1], ['20250523_082102', 4], ['20250524_052000', 2], ['20250524_062002', 4], ['20250524_072002', 3], ['20250524_082002', 2], ['20250525_061902', 1], ['20250525_071902', 1], ['20250525_081902', 4], ['20250526_071802', 1], ['20250527_081702', 1], ['20250528_071702', 4], ['20250528_081702', 4], ['20250530_061502', 3], ['20250530_081502', 3], ['20250531_061502', 1], ['20250601_051400', 1], ['20250601_081402', 2], ['20250602_081402', 3], ['20250604_061302', 1], ['20250604_071302', 1], ['20250605_061202', 2], ['20250606_071202', 1], ['20250607_071202', 2], ['20250608_071102', 2], ['20250608_081102', 1], ['20250610_081102', 1], ['20250611_071102', 1], ['20250611_081102', 1], ['20250612_061102', 1], ['20250612_071102', 1], ['20250614_081002', 1], ['20250615_051000', 1], ['20250615_061002', 1], ['20250615_071002', 1], ['20250615_081002', 2], ['20250616_051000', 1], ['20250616_071002', 1], ['20250617_061102', 1], ['20250617_081102', 3], ['20250618_061102', 1], ['20250618_071102', 2], ['20250621_071102', 1], ['20250623_061202', 2], ['20250623_071202', 2], ['20250623_081202', 3], ['20250624_051200', 3], ['20250624_061202', 2], ['20250624_081202', 2], ['20250625_061202', 1], ['20250625_071202', 1], ['20250626_071302', 2], ['20250627_081302', 1], ['20250628_071402', 1], ['20250628_081402', 1]]"
American Kestrel,0.4803,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,TBD,no,"[['20250526_051800', 2]]"
American Redstart,0.9705,0.0,0.0,0.0,0.0,0.0,0.0,90.0,437.0,TBD,no,"[['20250516_072702', 5], ['20250518_052500', 10], ['20250518_072502', 1], ['20250519_082402', 1], ['20250521_072202', 17], ['20250522_082102', 10], ['20250523_072102', 164], ['20250523_082102', 4], ['20250524_052000', 1], ['20250526_061802', 15], ['20250526_081802', 26], ['20250529_061602', 34], ['20250529_071602', 82], ['20250529_081602', 12], ['20250530_061502', 2], ['20250531_061502', 1], ['20250531_071502', 1], ['20250531_081502', 1], ['20250602_071402', 1], ['20250605_061202', 136], ['20250609_071102', 1], ['20250616_071002', 1], ['20250623_061202', 1]]"
American Robin,0.9904,0.0,0.0,0.0,0.0,0.0,0.0,1775.0,5739.0,TBD,no,"[['20250515_052800', 1], ['20250515_072802', 2], ['20250516_052700', 20], ['20250517_072602', 3], ['20250517_082602', 84], ['20250518_052500', 1], ['20250518_072502', 27], ['20250518_082502', 70], ['20250519_052400', 2], ['20250519_062402', 2], ['20250521_062202', 1], ['20250521_072202', 1], ['20250521_082202', 1], ['20250522_052100', 10], ['20250522_072102', 7], ['20250523_072102', 26], ['20250524_052000', 4], ['20250524_072002', 7], ['20250524_082002', 1], ['20250525_071902', 1], ['20250525_081902', 1], ['20250526_051800', 3], ['20250526_061802', 84], ['20250526_071802', 1], ['20250526_081802', 3], ['20250527_051700', 47], ['20250527_061702', 9], ['20250527_081702', 2], ['20250528_051700', 18], ['20250528_061702', 92], ['20250528_071702', 28], ['20250528_081702', 45], ['20250529_051600', 3], ['20250529_061602', 6], ['20250529_071602', 11], ['20250529_081602', 11], ['20250530_051500', 65], ['20250530_061502', 16], ['20250530_071502', 8], ['20250530_081502', 11], ['20250531_051500', 82], ['20250531_061502', 18], ['20250531_081502', 2], ['20250601_051400', 22], ['20250601_061402', 5], ['20250601_071402', 13], ['20250601_081402', 284], ['20250601_203700', 276], ['20250602_051400', 55], ['20250602_061402', 13], ['20250602_071402', 23], ['20250602_081402', 21], ['20250602_203800', 86], ['20250603_051300', 68], ['20250603_203900', 42], ['20250604_051300', 50], ['20250604_061302', 9], ['20250604_071302', 20], ['20250604_081302', 1], ['20250604_204000', 47], ['20250605_051200', 6], ['20250605_061202', 12], ['20250605_071202', 6], ['20250605_081202', 4], ['20250605_204000', 47], ['20250606_051200', 598], ['20250606_061202', 279], ['20250606_071202', 184], ['20250606_081202', 76], ['20250606_204100', 79], ['20250607_051200', 18], ['20250607_061202', 24], ['20250607_071202', 3], ['20250607_081202', 46], ['20250607_204200', 10], ['20250608_051100', 7], ['20250608_061102', 15], ['20250608_071102', 5], ['20250608_204300', 210], ['20250609_051100', 234], ['20250609_061102', 40], ['20250609_071102', 24], ['20250609_081102', 3], ['20250609_204300', 69], ['20250610_071102', 1], ['20250610_204400', 288], ['20250611_051100', 19], ['20250611_061102', 8], ['20250611_071102', 9], ['20250611_204400', 95], ['20250612_051100', 8], ['20250612_061102', 3], ['20250612_071102', 5], ['20250612_081102', 34], ['20250613_204500', 5], ['20250614_051000', 8], ['20250614_061002', 3], ['20250614_071002', 6], ['20250614_081002', 1], ['20250614_204600', 2], ['20250615_061002', 1], ['20250615_071002', 1], ['20250615_081002', 10], ['20250615_204600', 109], ['20250616_051000', 18], ['20250616_061002', 9], ['20250616_071002', 1], ['20250616_081002', 60], ['20250616_204700', 136], ['20250617_051100', 535], ['20250617_061102', 268], ['20250617_071102', 189], ['20250617_081102', 94], ['20250617_204700', 346], ['20250618_051100', 160], ['20250618_061102', 14], ['20250618_081102', 6], ['20250618_204700', 8], ['20250619_071102', 1], ['20250619_081102', 7], ['20250619_204800', 11], ['20250620_051100', 18], ['20250620_061102', 14], ['20250620_071102', 42], ['20250620_081102', 42], ['20250620_204800', 37], ['20250621_051100', 26], ['20250621_061102', 21], ['20250621_071102', 1], ['20250621_081102', 12], ['20250621_204800', 17], ['20250622_051100', 39], ['20250622_061102', 5], ['20250622_071102', 11], ['20250622_081102', 14], ['20250622_204800', 15], ['20250623_061202', 3], ['20250623_071202', 2], ['20250623_081202', 1], ['20250623_204800', 131], ['20250624_051200', 18], ['20250624_061202', 33], ['20250624_071202', 28], ['20250624_204800', 170], ['20250625_051200', 21], ['20250625_061202', 2], ['20250625_204800', 34], ['20250626_051300', 5], ['20250626_061302', 6], ['20250626_071302', 85], ['20250626_081302', 3], ['20250626_204800', 7], ['20250627_071302', 77], ['20250627_081302', 6], ['20250627_204800', 59], ['20250628_071402', 3], ['20250628_081402', 53], ['20250628_204800', 102], ['20250629_061428', 1]]"
American Woodcock,0.7494,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,TBD,no,"[['20250610_214402', 2]]"
Bald Eagle,0.9624,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,TBD,no,"[['20250523_062102', 1], ['20250530_061502', 1], ['20250627_071302', 1]]"
