Common Name,Confidence,"Number of Instances, 50% Confidence","Number of Instances, 55% Confidence","Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare
Alder Flycatcher,0.9786,3.0,4.0,7.0,4.0,7.0,4.0,4.0,10.0,8.0,28.0,TBD,no
American Bittern,0.5382,,,,,,,,,,,NA,no
American Crow,0.9728,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,41.0,TBD,no
American Goldfinch,0.9944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,49.0,346.0,TBD,no
American Kestrel,0.3008,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,TBD,no
American Robin,0.9887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,424.0,TBD,no
American Woodcock,0.7020,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,TBD,no
Baltimore Oriole,0.6636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TBD,no
Barn Swallow,0.9831,0.0,0.0,0.0,0.0,0.0,7.0,28.0,22.0,20.0,54.0,TBD,no
Barred Owl,0.6968,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Belted Kingfisher,0.9999,1.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,TBD,no
Black-and-white Warbler,0.5120,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,TBD,no
Black-billed Cuckoo,0.9999,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,26.0,0.0,TBD,no
Black-throated Green Warbler,0.4873,,,,,,,,,,,NA,no
Blackpoll Warbler,0.8060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,TBD,no
Blue Grosbeak,0.5062,,,,,,,,,,,NA,no
Blue Jay,0.7109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,TBD,no
Blue-winged Warbler,0.5069,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Broad-winged Hawk,0.4097,,,,,,,,,,,NA,no
Brown Creeper,0.3080,,,,,,,,,,,NA,no
Brown Thrasher,0.9670,3.0,5.0,1.0,4.0,3.0,4.0,6.0,10.0,8.0,8.0,TBD,no
Brown-headed Cowbird,0.9997,0.0,0.0,0.0,0.0,0.0,0.0,18.0,68.0,102.0,524.0,TBD,no
Canada Goose,0.9886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,TBD,no
Cedar Waxwing,0.6859,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,TBD,no
