Common Name,Confidence,"Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare,List of Datetimes
Acadian Flycatcher,0.6511,,,,,,,,,NA,no,NA
Alder Flycatcher,0.9615,2.0,4.0,2.0,3.0,3.0,10.0,5.0,33.0,TBD,no,"[['20250525_071902', 47], ['20250525_081902', 15]]"
American Bittern,0.7935,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250611_081102', 1]]"
American Crow,0.9949,0.0,0.0,0.0,0.0,30.0,75.0,96.0,982.0,TBD,no,"[['20250515_052800', 54], ['20250515_062802', 4], ['20250515_072802', 1], ['20250516_072702', 13], ['20250516_082702', 34], ['20250517_052600', 1], ['20250517_062602', 5], ['20250517_072602', 4], ['20250518_052500', 30], ['20250518_062502', 9], ['20250518_072502', 2], ['20250518_082502', 20], ['20250519_052400', 2], ['20250519_062402', 15], ['20250519_072402', 3], ['20250519_082402', 4], ['20250521_062202', 1], ['20250521_072202', 1], ['20250522_052100', 5], ['20250522_062102', 4], ['20250522_072102', 3], ['20250522_082102', 2], ['20250523_062102', 1], ['20250524_052000', 85], ['20250524_062002', 62], ['20250524_072002', 5], ['20250524_082002', 2], ['20250525_051900', 70], ['20250525_061902', 22], ['20250525_071902', 7], ['20250525_081902', 6], ['20250526_051800', 143], ['20250526_061802', 58], ['20250526_071802', 52], ['20250526_081802', 5], ['20250527_061702', 1], ['20250527_071702', 8], ['20250527_081702', 6], ['20250528_071702', 1], ['20250529_051600', 1], ['20250530_051500', 9], ['20250531_051500', 30], ['20250531_061502', 13], ['20250531_071502', 2], ['20250601_051400', 25], ['20250601_061402', 32], ['20250601_071402', 7], ['20250601_081402', 2], ['20250602_071402', 7], ['20250602_081402', 1], ['20250604_051300', 3], ['20250604_071302', 21], ['20250604_081302', 15], ['20250605_051200', 21], ['20250605_061202', 3], ['20250605_071202', 1], ['20250605_081202', 25], ['20250606_061202', 2], ['20250606_081202', 4], ['20250606_204100', 4], ['20250607_051200', 62], ['20250607_061202', 2], ['20250607_071202', 9], ['20250607_081202', 14], ['20250607_204200', 18], ['20250608_051100', 3], ['20250608_061102', 25], ['20250608_071102', 1], ['20250609_071102', 2], ['20250609_081102', 1], ['20250610_051100', 11], ['20250610_061102', 1], ['20250610_071102', 1], ['20250611_051100', 5], ['20250611_071102', 1], ['20250612_051100', 2], ['20250612_061102', 2], ['20250614_081002', 11], ['20250615_061002', 3], ['20250616_051000', 1], ['20250617_051100', 2], ['20250617_071102', 2], ['20250617_204700', 1], ['20250618_051100', 10], ['20250618_061102', 1], ['20250618_071102', 1], ['20250618_081102', 5], ['20250618_204700', 1], ['20250619_051100', 5], ['20250619_071102', 1]]"
American Goldfinch,0.8363,0.0,0.0,0.0,0.0,0.0,8.0,14.0,64.0,TBD,no,"[['20250515_062802', 1], ['20250515_072802', 1], ['20250518_062502', 1], ['20250519_082402', 1], ['20250522_062102', 3], ['20250522_082102', 1], ['20250524_052000', 1], ['20250526_081802', 1], ['20250527_081702', 1], ['20250530_061502', 3], ['20250602_081402', 2], ['20250604_051300', 1], ['20250604_071302', 3], ['20250605_071202', 3], ['20250605_081202', 5], ['20250607_081202', 1], ['20250608_071102', 2], ['20250608_081102', 3], ['20250609_061102', 1], ['20250609_071102', 2], ['20250610_061102', 1], ['20250610_071102', 1], ['20250610_081102', 2], ['20250611_061102', 5], ['20250611_071102', 1], ['20250611_081102', 5], ['20250612_061102', 1], ['20250612_071102', 1], ['20250612_081102', 2], ['20250616_051000', 1], ['20250618_051100', 5], ['20250618_061102', 4], ['20250618_071102', 5], ['20250619_061102', 8], ['20250619_071102', 5], ['20250619_081102', 2]]"
American Redstart,0.9605,0.0,0.0,0.0,0.0,0.0,0.0,73.0,128.0,TBD,no,"[['20250515_062802', 1], ['20250517_052600', 1], ['20250518_062502', 3], ['20250518_072502', 1], ['20250519_062402', 1], ['20250519_072402', 4], ['20250519_082402', 5], ['20250521_062202', 1], ['20250521_072202', 1], ['20250521_082202', 3], ['20250522_052100', 20], ['20250522_062102', 17], ['20250522_072102', 3], ['20250523_052100', 1], ['20250524_062002', 1], ['20250524_072002', 2], ['20250524_082002', 12], ['20250526_051800', 2], ['20250526_061802', 3], ['20250526_071802', 16], ['20250528_081702', 1], ['20250530_051500', 1], ['20250530_061502', 1], ['20250530_081502', 2], ['20250531_081502', 1], ['20250601_051400', 1], ['20250601_071402', 3], ['20250601_081402', 5], ['20250602_051400', 2], ['20250602_061402', 2], ['20250602_071402', 1], ['20250603_203900', 1], ['20250604_051300', 1], ['20250604_061302', 1], ['20250604_081302', 4], ['20250604_204000', 1], ['20250605_061202', 8], ['20250605_071202', 1], ['20250605_081202', 2], ['20250605_204000', 1], ['20250606_061202', 1], ['20250606_204100', 1], ['20250607_051200', 1], ['20250608_071102', 5], ['20250609_061102', 1], ['20250609_081102', 1], ['20250610_051100', 3], ['20250610_081102', 1], ['20250616_051000', 2], ['20250616_071002', 5], ['20250616_081002', 8], ['20250617_061102', 1], ['20250618_061102', 12], ['20250618_071102', 4], ['20250618_081102', 1], ['20250618_204700', 1], ['20250619_051100', 7], ['20250619_061102', 3], ['20250619_071102', 4], ['20250619_081102', 1]]"
American Robin,0.6294,0.0,0.0,0.0,0.0,0.0,0.0,9.0,18.0,TBD,no,"[['20250522_052100', 1], ['20250522_062102', 5], ['20250525_061902', 1], ['20250602_071402', 2], ['20250603_203900', 2], ['20250604_081302', 1], ['20250604_204000', 1], ['20250605_051200', 1], ['20250607_204200', 1], ['20250608_061102', 1], ['20250616_051000', 3], ['20250617_061102', 4], ['20250617_204700', 1], ['20250618_051100', 1], ['20250618_204700', 2]]"
American Woodcock,0.6874,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250602_203800', 1], ['20250602_213802', 1], ['20250606_204100', 2]]"
Bald Eagle,0.4518,,,,,,,,,NA,no,NA
Baltimore Oriole,0.9252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,TBD,no,"[['20250515_052800', 16], ['20250515_062802', 2], ['20250518_052500', 2], ['20250522_062102', 15], ['20250525_081902', 2], ['20250527_061702', 1], ['20250529_051600', 1], ['20250602_061402', 1], ['20250602_071402', 2], ['20250605_051200', 1], ['20250605_061202', 1], ['20250605_071202', 1], ['20250607_071202', 1], ['20250607_081202', 1], ['20250609_081102', 1], ['20250610_071102', 1], ['20250611_081102', 1], ['20250616_051000', 3], ['20250616_071002', 1], ['20250617_204700', 1]]"
Barred Owl,0.9493,4.0,2.0,4.0,2.0,4.0,4.0,0.0,0.0,TBD,no,"[['20250515_082802', 2], ['20250527_071702', 2], ['20250528_061702', 2], ['20250603_213902', 2], ['20250606_204100', 1], ['20250611_081102', 1], ['20250611_214402', 1], ['20250612_204500', 3], ['20250614_214602', 1], ['20250615_081002', 4], ['20250617_071102', 1]]"
Bay-breasted Warbler,0.9163,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,TBD,no,"[['20250520_082302', 6]]"
Belted Kingfisher,0.4589,,,,,,,,,NA,no,NA
Black-and-white Warbler,0.9980,7.0,11.0,6.0,7.0,5.0,12.0,8.0,19.0,TBD,no,"[['20250515_062802', 30], ['20250519_072402', 8], ['20250522_062102', 17], ['20250522_082102', 4], ['20250523_062102', 3], ['20250528_071702', 1], ['20250528_081702', 6], ['20250602_051400', 3], ['20250604_071302', 1], ['20250606_071202', 1], ['20250618_061102', 1]]"
Black-billed Cuckoo,0.9995,1.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,TBD,no,"[['20250526_081802', 6], ['20250601_051400', 2], ['20250601_061402', 1], ['20250607_061202', 1], ['20250607_071202', 1]]"
Black-capped Chickadee,0.9957,0.0,0.0,0.0,0.0,281.0,336.0,389.0,713.0,TBD,no,"[['20250515_072802', 2], ['20250516_052700', 71], ['20250516_062702', 15], ['20250517_052600', 12], ['20250517_062602', 2], ['20250517_082602', 12], ['20250518_052500', 19], ['20250519_052400', 1], ['20250519_072402', 7], ['20250519_082402', 16], ['20250520_052300', 29], ['20250521_052200', 4], ['20250521_062202', 2], ['20250521_072202', 12], ['20250521_082202', 10], ['20250522_052100', 14], ['20250522_062102', 9], ['20250522_072102', 1], ['20250524_052000', 68], ['20250524_062002', 7], ['20250525_051900', 11], ['20250525_061902', 10], ['20250526_051800', 60], ['20250526_061802', 3], ['20250526_071802', 45], ['20250527_051700', 5], ['20250527_061702', 1], ['20250527_081702', 2], ['20250528_051700', 7], ['20250528_061702', 4], ['20250528_071702', 1], ['20250529_051600', 15], ['20250529_061602', 53], ['20250530_051500', 52], ['20250531_051500', 16], ['20250531_061502', 4], ['20250601_061402', 1], ['20250601_071402', 2], ['20250602_051400', 20], ['20250602_061402', 1], ['20250602_081402', 135], ['20250603_051300', 9], ['20250603_081302', 13], ['20250603_203900', 18], ['20250604_051300', 10], ['20250604_061302', 3], ['20250604_071302', 8], ['20250604_081302', 31], ['20250604_204000', 5], ['20250605_051200', 26], ['20250605_061202', 36], ['20250605_071202', 1], ['20250605_081202', 4], ['20250606_081202', 2], ['20250606_204100', 1], ['20250607_051200', 3], ['20250607_061202', 38], ['20250607_071202', 1], ['20250607_081202', 44], ['20250608_061102', 5], ['20250608_071102', 29], ['20250609_061102', 2], ['20250610_051100', 3], ['20250610_061102', 2], ['20250610_071102', 1], ['20250610_204400', 15], ['20250611_051100', 9], ['20250611_061102', 1], ['20250611_071102', 20], ['20250611_081102', 10], ['20250611_204400', 1], ['20250612_061102', 12], ['20250614_071002', 4], ['20250615_081002', 94], ['20250616_061002', 26], ['20250616_071002', 11], ['20250616_081002', 194], ['20250617_061102', 3], ['20250617_071102', 55], ['20250617_204700', 1], ['20250618_051100', 1], ['20250618_061102', 41], ['20250618_071102', 88], ['20250618_081102', 8], ['20250618_204700', 5], ['20250619_061102', 34], ['20250619_071102', 1], ['20250619_081102', 27], ['20250619_204800', 2]]"
Black-crowned Night-Heron,0.4434,,,,,,,,,NA,no,NA
Black-throated Blue Warbler,0.5464,,,,,,,,,NA,no,NA
Black-throated Green Warbler,0.8847,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,TBD,no,"[['20250605_071202', 1], ['20250611_071102', 1]]"
Blackburnian Warbler,0.9381,1.0,2.0,3.0,1.0,5.0,3.0,3.0,2.0,TBD,no,"[['20250515_062802', 13], ['20250516_072702', 5], ['20250516_082702', 2]]"
Blackpoll Warbler,0.6427,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,TBD,no,"[['20250519_072402', 2], ['20250519_082402', 1], ['20250523_062102', 1], ['20250530_051500', 1], ['20250619_061102', 1]]"
Blue Jay,0.9788,0.0,0.0,0.0,0.0,3.0,21.0,30.0,810.0,TBD,no,"[['20250515_082802', 19], ['20250516_072702', 2], ['20250518_052500', 5], ['20250518_062502', 6], ['20250518_072502', 2], ['20250518_082502', 4], ['20250519_062402', 2], ['20250519_082402', 38], ['20250521_052200', 1], ['20250521_062202', 2], ['20250521_072202', 11], ['20250522_062102', 6], ['20250522_072102', 12], ['20250523_052100', 1], ['20250523_062102', 11], ['20250523_072102', 4], ['20250523_082102', 1], ['20250524_062002', 30], ['20250524_072002', 8], ['20250525_051900', 14], ['20250525_061902', 6], ['20250525_071902', 4], ['20250525_081902', 7], ['20250526_061802', 61], ['20250526_071802', 24], ['20250528_071702', 4], ['20250529_071602', 1], ['20250529_081602', 1], ['20250531_061502', 32], ['20250531_071502', 116], ['20250601_071402', 14], ['20250602_081402', 1], ['20250603_081302', 14], ['20250604_061302', 2], ['20250604_071302', 62], ['20250604_081302', 65], ['20250605_071202', 2], ['20250605_081202', 13], ['20250606_061202', 3], ['20250606_204100', 1], ['20250607_051200', 1], ['20250607_061202', 1], ['20250607_071202', 17], ['20250607_081202', 2], ['20250608_061102', 20], ['20250608_071102', 1], ['20250609_071102', 2], ['20250610_061102', 1], ['20250610_071102', 3], ['20250610_081102', 1], ['20250611_051100', 7], ['20250611_081102', 30], ['20250614_071002', 1], ['20250615_061002', 4], ['20250615_071002', 1], ['20250617_061102', 1], ['20250617_071102', 10], ['20250617_081102', 13], ['20250618_061102', 1], ['20250618_081102', 3], ['20250619_061102', 39], ['20250619_071102', 38], ['20250619_081102', 50], ['20250619_204800', 5]]"
Blue-gray Gnatcatcher,0.3221,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,TBD,no,"[['20250602_071402', 2]]"
Blue-headed Vireo,0.6153,,,,,,,,,NA,no,NA
Blue-winged Warbler,0.9794,5.0,8.0,3.0,6.0,4.0,12.0,18.0,27.0,TBD,no,"[['20250516_072702', 1], ['20250519_052400', 1], ['20250523_062102', 2], ['20250524_072002', 2], ['20250525_061902', 1], ['20250525_071902', 4], ['20250527_061702', 6], ['20250528_071702', 5], ['20250528_081702', 4], ['20250530_071502', 2], ['20250604_071302', 19], ['20250611_081102', 1], ['20250616_061002', 2], ['20250616_081002', 1], ['20250618_051100', 16], ['20250619_051100', 4], ['20250619_061102', 7], ['20250619_071102', 2], ['20250619_081102', 3]]"
Broad-winged Hawk,0.9964,1.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250517_052600', 1], ['20250517_062602', 1], ['20250518_082502', 1], ['20250525_081902', 1], ['20250603_071302', 1], ['20250608_061102', 6], ['20250617_081102', 2]]"
Brown Creeper,0.3743,,,,,,,,,NA,no,NA
Brown Thrasher,0.7787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TBD,no,"[['20250523_052100', 1]]"
Brown-headed Cowbird,0.9991,0.0,0.0,0.0,0.0,3.0,31.0,29.0,61.0,TBD,no,"[['20250515_062802', 2], ['20250516_072702', 1], ['20250518_062502', 1], ['20250518_082502', 1], ['20250522_052100', 2], ['20250522_062102', 2], ['20250522_072102', 1], ['20250524_052000', 3], ['20250524_072002', 3], ['20250525_051900', 1], ['20250525_071902', 2], ['20250525_081902', 2], ['20250526_051800', 1], ['20250526_061802', 5], ['20250526_071802', 9], ['20250526_081802', 4], ['20250527_061702', 1], ['20250527_071702', 3], ['20250527_081702', 2], ['20250529_081602', 1], ['20250531_081502', 1], ['20250601_061402', 1], ['20250601_071402', 4], ['20250601_081402', 1], ['20250602_051400', 2], ['20250602_061402', 1], ['20250602_071402', 1], ['20250602_081402', 1], ['20250604_061302', 1], ['20250604_071302', 2], ['20250604_081302', 1], ['20250605_061202', 2], ['20250605_071202', 1], ['20250605_081202', 1], ['20250607_071202', 2], ['20250607_081202', 1], ['20250610_061102', 1], ['20250611_071102', 1], ['20250611_081102', 2], ['20250612_061102', 1], ['20250615_051000', 1], ['20250615_061002', 1], ['20250615_071002', 30], ['20250616_051000', 1], ['20250616_081002', 2], ['20250617_071102', 1], ['20250617_081102', 1], ['20250618_051100', 1], ['20250618_061102', 5], ['20250618_081102', 2], ['20250619_061102', 1], ['20250619_071102', 2], ['20250619_081102', 1]]"
Canada Goose,0.9642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,TBD,no,"[['20250517_052600', 4], ['20250518_052500', 7], ['20250519_082402', 5], ['20250520_052300', 1], ['20250523_052100', 8], ['20250523_082102', 1], ['20250525_081902', 1], ['20250526_051800', 2], ['20250526_081802', 3], ['20250527_081702', 12], ['20250601_051400', 13], ['20250601_061402', 11], ['20250601_071402', 1], ['20250601_081402', 20], ['20250601_203700', 25], ['20250601_213702', 3], ['20250602_061402', 6], ['20250604_204000', 27], ['20250605_061202', 2], ['20250607_071202', 1], ['20250608_061102', 13], ['20250611_204400', 2], ['20250619_061102', 3]]"
Canada Warbler,0.9957,1.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,TBD,no,"[['20250521_082202', 6], ['20250606_071202', 1]]"
Cedar Waxwing,0.9145,0.0,0.0,0.0,13.0,9.0,14.0,11.0,20.0,TBD,no,"[['20250515_072802', 1], ['20250517_062602', 1], ['20250521_062202', 1], ['20250522_072102', 1], ['20250524_052000', 2], ['20250524_072002', 2], ['20250527_071702', 2], ['20250530_051500', 2], ['20250530_071502', 1], ['20250530_081502', 3], ['20250531_051500', 5], ['20250531_081502', 8], ['20250601_081402', 2], ['20250602_051400', 6], ['20250602_203800', 1], ['20250603_051300', 2], ['20250604_061302', 6], ['20250605_081202', 1], ['20250608_081102', 2], ['20250609_071102', 2], ['20250610_051100', 1], ['20250610_204400', 1], ['20250611_051100', 1], ['20250612_081102', 1], ['20250615_051000', 1], ['20250615_071002', 1], ['20250616_061002', 1], ['20250617_071102', 3], ['20250617_081102', 1], ['20250619_081102', 5]]"
Chestnut-sided Warbler,0.7362,3.0,1.0,2.0,2.0,5.0,0.0,1.0,0.0,TBD,no,"[['20250602_061402', 13], ['20250607_081202', 1]]"
Common Grackle,0.6399,0.0,0.0,0.0,0.0,3.0,4.0,4.0,3.0,TBD,no,"[['20250524_072002', 2], ['20250527_051700', 1], ['20250529_071602', 1], ['20250602_071402', 1], ['20250603_203900', 1], ['20250605_204000', 1], ['20250610_071102', 1], ['20250610_204400', 1], ['20250616_071002', 1], ['20250617_071102', 2], ['20250617_081102', 1], ['20250619_071102', 1]]"
Common Loon,0.9926,1.0,1.0,0.0,0.0,4.0,7.0,0.0,0.0,TBD,no,"[['20250519_052400', 2], ['20250607_061202', 2], ['20250608_081102', 8], ['20250609_051100', 1]]"
Common Nighthawk,0.5130,,,,,,,,,NA,no,NA
Common Raven,0.6255,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250530_051500', 1]]"
Common Yellowthroat,0.8754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.0,TBD,no,"[['20250515_052800', 3], ['20250515_062802', 5], ['20250515_072802', 8], ['20250518_052500', 13], ['20250518_062502', 24], ['20250518_072502', 1], ['20250518_082502', 1], ['20250522_052100', 29], ['20250522_062102', 31], ['20250522_072102', 1], ['20250522_082102', 1], ['20250523_052100', 3], ['20250524_052000', 8], ['20250524_062002', 5], ['20250524_072002', 12], ['20250525_051900', 1], ['20250525_061902', 6], ['20250525_071902', 4], ['20250525_081902', 11], ['20250526_051800', 2], ['20250526_061802', 2], ['20250526_071802', 20], ['20250526_081802', 2], ['20250527_061702', 1], ['20250527_071702', 5], ['20250528_061702', 1], ['20250529_061602', 1], ['20250530_051500', 1], ['20250530_061502', 4], ['20250531_061502', 1], ['20250601_051400', 3], ['20250601_071402', 10], ['20250601_081402', 11], ['20250601_203700', 25], ['20250602_051400', 3], ['20250602_061402', 25], ['20250602_071402', 4], ['20250602_081402', 12], ['20250602_203800', 2], ['20250603_203900', 20], ['20250604_051300', 24], ['20250604_061302', 76], ['20250604_071302', 29], ['20250604_081302', 34], ['20250604_204000', 4], ['20250605_051200', 6], ['20250605_061202', 38], ['20250605_071202', 53], ['20250605_081202', 9], ['20250606_061202', 3], ['20250606_071202', 5], ['20250606_204100', 3], ['20250607_051200', 24], ['20250607_061202', 22], ['20250607_071202', 21], ['20250607_081202', 21], ['20250608_051100', 4], ['20250608_061102', 3], ['20250608_071102', 5], ['20250609_051100', 1], ['20250609_061102', 2], ['20250609_071102', 11], ['20250609_081102', 6], ['20250609_204300', 1], ['20250610_051100', 7], ['20250610_061102', 8], ['20250610_071102', 10], ['20250610_081102', 1], ['20250610_204400', 12], ['20250611_051100', 16], ['20250611_061102', 30], ['20250611_071102', 13], ['20250611_081102', 17], ['20250611_204400', 5], ['20250612_051100', 19], ['20250612_061102', 9], ['20250612_071102', 3], ['20250612_081102', 6], ['20250614_081002', 1], ['20250615_061002', 1], ['20250616_051000', 1], ['20250616_061002', 2], ['20250616_071002', 1], ['20250616_204700', 1], ['20250617_051100', 6], ['20250617_061102', 6], ['20250617_204700', 65], ['20250618_051100', 3], ['20250618_061102', 16], ['20250618_071102', 6], ['20250618_081102', 9], ['20250618_204700', 27], ['20250619_051100', 5], ['20250619_061102', 2], ['20250619_071102', 6], ['20250619_204800', 22]]"
Connecticut Warbler,0.7706,,,,,,,,,NA,no,NA
Cooper's Hawk,0.8792,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,TBD,no,"[['20250609_204300', 1], ['20250618_081102', 1]]"
Downy Woodpecker,0.9814,0.0,0.0,21.0,49.0,46.0,64.0,80.0,149.0,TBD,no,"[['20250517_052600', 17], ['20250517_062602', 6], ['20250517_072602', 5], ['20250517_082602', 48], ['20250518_072502', 8], ['20250518_082502', 23], ['20250521_062202', 1], ['20250521_072202', 2], ['20250522_052100', 2], ['20250522_062102', 1], ['20250523_052100', 6], ['20250524_052000', 14], ['20250524_072002', 6], ['20250525_051900', 12], ['20250525_061902', 1], ['20250527_081702', 33], ['20250528_081702', 14], ['20250529_061602', 1], ['20250529_071602', 2], ['20250529_081602', 3], ['20250530_071502', 1], ['20250531_061502', 1], ['20250601_071402', 2], ['20250601_081402', 3], ['20250602_071402', 1], ['20250604_061302', 4], ['20250605_061202', 2], ['20250607_071202', 2], ['20250607_204200', 1], ['20250607_214202', 2], ['20250608_071102', 1], ['20250609_081102', 5], ['20250611_061102', 3], ['20250612_071102', 1], ['20250612_081102', 1], ['20250614_061002', 55], ['20250614_071002', 25], ['20250615_061002', 2], ['20250615_071002', 1], ['20250615_081002', 2], ['20250616_061002', 18], ['20250617_051100', 1], ['20250617_061102', 2], ['20250617_071102', 6], ['20250618_051100', 1], ['20250618_071102', 2], ['20250618_081102', 4], ['20250619_051100', 7], ['20250619_061102', 34], ['20250619_071102', 12], ['20250619_081102', 2]]"
Eastern Bluebird,0.9729,3.0,3.0,4.0,1.0,4.0,4.0,7.0,5.0,TBD,no,"[['20250515_062802', 11], ['20250515_072802', 2], ['20250515_082802', 2], ['20250517_052600', 1], ['20250526_061802', 2], ['20250528_071702', 2], ['20250601_203700', 1], ['20250604_081302', 1], ['20250605_204000', 1], ['20250609_051100', 2], ['20250609_204300', 1], ['20250611_081102', 1], ['20250616_051000', 1], ['20250616_071002', 1], ['20250619_061102', 1], ['20250619_071102', 1]]"
Eastern Kingbird,0.7113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TBD,no,"[['20250604_071302', 1]]"
Eastern Phoebe,0.9778,2.0,2.0,1.0,0.0,1.0,2.0,3.0,0.0,TBD,no,"[['20250604_204000', 2], ['20250607_061202', 6], ['20250607_081202', 1], ['20250610_071102', 1], ['20250614_081002', 1]]"
Eastern Towhee,0.8780,0.0,0.0,0.0,0.0,0.0,3.0,10.0,3.0,TBD,no,"[['20250520_082302', 6], ['20250524_052000', 1], ['20250524_062002', 2], ['20250525_051900', 1], ['20250526_061802', 1], ['20250601_061402', 2], ['20250604_081302', 1], ['20250607_051200', 1], ['20250608_071102', 1]]"
Eastern Whip-poor-will,0.9987,0.0,0.0,0.0,0.0,0.0,47.0,69.0,282.0,TBD,no,"[['20250603_203900', 20], ['20250603_213902', 124], ['20250604_204000', 2], ['20250604_214002', 19], ['20250608_204300', 5], ['20250609_214302', 124], ['20250610_214402', 11], ['20250611_214402', 1], ['20250614_051000', 1], ['20250617_204700', 1], ['20250618_081102', 1], ['20250618_204700', 1], ['20250618_214702', 88]]"
