Common Name,Confidence,"Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare,List of Datetimes
Alder Flycatcher,0.6151,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,TBD,no,"[['20250521_052200', 1], ['20250528_071702', 1], ['20250607_081202', 1], ['20250617_051100', 1], ['20250617_071102', 1], ['20250629_081402', 1]]"
American Bittern,0.9600,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,TBD,no,"[['20250521_062202', 1], ['20250524_052000', 1], ['20250529_051600', 3], ['20250604_081302', 1], ['20250618_071102', 1]]"
American Crow,0.5995,0.0,0.0,0.0,0.0,0.0,3.0,2.0,8.0,TBD,no,"[['20250518_052500', 4], ['20250518_082502', 1], ['20250521_072202', 5], ['20250523_052100', 1], ['20250610_081102', 2]]"
American Goldfinch,0.9849,0.0,0.0,0.0,0.0,0.0,0.0,21.0,71.0,TBD,no,"[['20250517_052600', 2], ['20250517_062602', 3], ['20250517_072602', 4], ['20250517_082602', 1], ['20250518_052500', 4], ['20250518_062502', 5], ['20250518_072502', 1], ['20250518_082502', 1], ['20250519_062402', 1], ['20250519_072402', 2], ['20250521_052200', 2], ['20250521_062202', 8], ['20250521_072202', 6], ['20250521_082202', 1], ['20250522_062102', 3], ['20250522_072102', 4], ['20250522_082102', 5], ['20250523_052100', 1], ['20250523_072102', 3], ['20250523_082102', 3], ['20250525_071902', 2], ['20250526_061802', 1], ['20250526_071802', 1], ['20250526_081802', 1], ['20250527_061702', 2], ['20250527_071702', 9], ['20250527_081702', 1], ['20250531_061502', 2], ['20250531_081502', 1], ['20250601_081402', 1], ['20250606_204100', 1], ['20250609_061102', 1], ['20250615_081002', 1], ['20250617_071102', 1], ['20250622_204800', 1], ['20250627_071302', 1], ['20250627_081302', 1], ['20250628_081402', 1], ['20250629_051400', 1], ['20250629_071402', 1], ['20250629_081402', 1]]"
American Kestrel,0.9996,0.0,48.0,46.0,62.0,61.0,85.0,128.0,869.0,TBD,no,"[['20250517_052600', 1], ['20250517_072602', 4], ['20250518_072502', 6], ['20250519_052400', 2], ['20250519_062402', 7], ['20250519_072402', 3], ['20250520_082302', 3], ['20250522_052100', 4], ['20250522_062102', 4], ['20250525_061902', 6], ['20250526_071802', 19], ['20250526_081802', 9], ['20250528_051700', 1], ['20250529_061602', 2], ['20250530_081502', 9], ['20250531_051500', 14], ['20250531_061502', 3], ['20250531_071502', 4], ['20250531_081502', 2], ['20250601_051400', 12], ['20250601_071402', 13], ['20250601_081402', 11], ['20250602_051400', 19], ['20250602_061402', 6], ['20250602_071402', 3], ['20250604_051300', 3], ['20250604_071302', 51], ['20250607_061202', 2], ['20250607_071202', 1], ['20250608_204300', 6], ['20250609_204300', 2], ['20250610_071102', 1], ['20250611_071102', 1], ['20250612_081102', 3], ['20250612_204500', 45], ['20250613_061102', 1], ['20250614_061002', 14], ['20250614_071002', 2], ['20250615_081002', 18], ['20250615_204600', 2], ['20250616_061002', 119], ['20250616_071002', 36], ['20250616_081002', 6], ['20250617_051100', 11], ['20250617_071102', 3], ['20250617_081102', 12], ['20250617_204700', 2], ['20250618_051100', 16], ['20250618_061102', 87], ['20250618_071102', 12], ['20250618_081102', 65], ['20250619_051100', 1], ['20250619_204800', 2], ['20250620_051100', 4], ['20250620_061102', 3], ['20250620_071102', 5], ['20250620_204800', 1], ['20250621_071102', 17], ['20250621_081102', 1], ['20250621_204800', 1], ['20250622_051100', 8], ['20250622_061102', 2], ['20250622_081102', 1], ['20250622_204800', 2], ['20250623_071202', 1], ['20250623_081202', 4], ['20250624_051200', 4], ['20250624_071202', 5], ['20250624_081202', 63], ['20250625_081202', 1], ['20250625_204800', 14], ['20250626_051300', 13], ['20250626_061302', 6], ['20250626_204800', 126], ['20250627_051300', 14], ['20250627_061302', 8], ['20250627_071302', 29], ['20250627_081302', 28], ['20250627_204800', 3], ['20250628_051400', 6], ['20250628_061402', 73], ['20250628_071402', 3], ['20250629_051400', 6], ['20250629_061402', 14], ['20250629_071402', 18], ['20250629_081402', 13], ['20250629_204800', 18], ['20250630_051500', 3], ['20250630_061502', 2], ['20250630_071502', 2], ['20250630_081502', 25], ['20250630_204800', 61]]"
American Robin,0.9776,0.0,0.0,0.0,0.0,0.0,0.0,780.0,2055.0,TBD,no,"[['20250518_052500', 5], ['20250518_062502', 4], ['20250518_072502', 3], ['20250518_082502', 1], ['20250520_082302', 1], ['20250521_052200', 3], ['20250521_062202', 2], ['20250521_082202', 6], ['20250522_052100', 41], ['20250522_062102', 1], ['20250522_072102', 1], ['20250522_082102', 21], ['20250523_052100', 16], ['20250523_062102', 35], ['20250523_072102', 34], ['20250523_082102', 1], ['20250524_052000', 6], ['20250524_062002', 15], ['20250524_072002', 17], ['20250524_082002', 1], ['20250525_071902', 1], ['20250526_071802', 1], ['20250527_061702', 3], ['20250527_071702', 6], ['20250527_081702', 15], ['20250528_051700', 4], ['20250528_061702', 2], ['20250529_061602', 2], ['20250529_071602', 1], ['20250530_071502', 2], ['20250530_081502', 6], ['20250531_051500', 3], ['20250601_071402', 1], ['20250601_081402', 3], ['20250601_203700', 9], ['20250602_203800', 1], ['20250603_071302', 2], ['20250603_081302', 2], ['20250603_203900', 38], ['20250604_061302', 10], ['20250604_204000', 45], ['20250605_204000', 18], ['20250606_071202', 1], ['20250606_204100', 40], ['20250606_214102', 1], ['20250607_051200', 2], ['20250607_204200', 6], ['20250608_204300', 46], ['20250609_051100', 1], ['20250609_081102', 2], ['20250609_204300', 2], ['20250610_061102', 1], ['20250610_204400', 7], ['20250610_214402', 3], ['20250611_071102', 3], ['20250611_081102', 10], ['20250611_204400', 85], ['20250611_214402', 1], ['20250612_204500', 137], ['20250613_071102', 2], ['20250613_204500', 273], ['20250614_061002', 1], ['20250614_071002', 7], ['20250614_081002', 7], ['20250614_204600', 77], ['20250615_051000', 16], ['20250615_071002', 4], ['20250615_081002', 16], ['20250615_204600', 201], ['20250616_051000', 2], ['20250616_061002', 5], ['20250616_071002', 17], ['20250616_081002', 2], ['20250616_204700', 51], ['20250617_051100', 2], ['20250617_061102', 4], ['20250617_071102', 4], ['20250617_081102', 1], ['20250617_204700', 102], ['20250618_051100', 10], ['20250618_061102', 56], ['20250618_071102', 3], ['20250618_081102', 5], ['20250618_204700', 58], ['20250619_071102', 1], ['20250619_204800', 90], ['20250620_051100', 1], ['20250620_071102', 2], ['20250620_204800', 52], ['20250621_051100', 7], ['20250621_061102', 2], ['20250621_081102', 1], ['20250621_204800', 62], ['20250622_051100', 2], ['20250622_204800', 8], ['20250623_061202', 5], ['20250623_071202', 25], ['20250623_081202', 71], ['20250623_204800', 26], ['20250624_051200', 4], ['20250624_071202', 2], ['20250624_081202', 1], ['20250624_204800', 158], ['20250625_081202', 2], ['20250625_204800', 127], ['20250626_051300', 14], ['20250626_061302', 55], ['20250626_071302', 3], ['20250626_204800', 136], ['20250627_051300', 13], ['20250627_061302', 1], ['20250627_071302', 3], ['20250627_081302', 9], ['20250627_204800', 105], ['20250628_051400', 19], ['20250628_061402', 2], ['20250628_071402', 7], ['20250628_081402', 1], ['20250628_204800', 18], ['20250629_051400', 9], ['20250629_081402', 2], ['20250629_204800', 16], ['20250630_051500', 2], ['20250630_061502', 3], ['20250630_071502', 1], ['20250630_081502', 6], ['20250630_204800', 98]]"
American Woodcock,0.6709,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250524_082002', 1]]"
Bald Eagle,0.4130,,,,,,,,,NA,no,NA
Baltimore Oriole,0.9554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,TBD,no,"[['20250517_052600', 1], ['20250518_062502', 1], ['20250518_072502', 1], ['20250519_052400', 1], ['20250521_072202', 1], ['20250521_082202', 1], ['20250522_062102', 12], ['20250522_072102', 5], ['20250523_052100', 1], ['20250523_062102', 4], ['20250523_072102', 13], ['20250523_082102', 5], ['20250524_062002', 1], ['20250524_082002', 4], ['20250525_061902', 3], ['20250525_071902', 7], ['20250525_081902', 1], ['20250526_061802', 1], ['20250526_071802', 1], ['20250526_081802', 6], ['20250527_051700', 3], ['20250527_061702', 13], ['20250527_071702', 7], ['20250527_081702', 8], ['20250528_071702', 12], ['20250528_081702', 10], ['20250529_061602', 1], ['20250530_061502', 3], ['20250531_071502', 4], ['20250601_061402', 1], ['20250601_071402', 12], ['20250601_081402', 3], ['20250601_203700', 1], ['20250603_061302', 1], ['20250603_071302', 1], ['20250603_081302', 2], ['20250603_203900', 1], ['20250605_081202', 1], ['20250606_081202', 3], ['20250607_071202', 2], ['20250608_204300', 1], ['20250611_081102', 2], ['20250615_081002', 1], ['20250616_071002', 1], ['20250627_061302', 1]]"
Bank Swallow,0.9970,8.0,10.0,6.0,3.0,3.0,6.0,2.0,1.0,TBD,no,"[['20250523_052100', 1], ['20250523_072102', 1], ['20250524_052000', 1], ['20250524_072002', 1], ['20250525_061902', 2], ['20250525_071902', 1], ['20250526_081802', 1], ['20250528_051700', 4], ['20250528_061702', 1], ['20250528_081702', 3], ['20250529_081602', 1], ['20250530_061502', 1], ['20250531_081502', 2], ['20250602_081402', 1], ['20250603_051300', 2], ['20250605_061202', 1], ['20250606_061202', 1], ['20250606_081202', 1], ['20250606_204100', 2], ['20250609_051100', 1], ['20250610_051100', 1], ['20250611_071102', 2], ['20250611_081102', 1], ['20250614_051000', 1], ['20250616_051000', 1], ['20250616_081002', 1], ['20250617_081102', 1], ['20250618_071102', 1], ['20250628_051400', 1]]"
