Common Name,Confidence,"Number of Instances, 50% Confidence","Number of Instances, 55% Confidence","Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare
American Bittern,0.4884,,,,,,,,,,,NA,no
American Crow,0.9971,0.0,0.0,0.0,0.0,0.0,0.0,23.0,64.0,106.0,680.0,TBD,no
American Goldfinch,0.8819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,48.0,TBD,no
American Redstart,0.9881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,305.0,TBD,no
American Robin,0.7119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,TBD,no
American Woodcock,0.9499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TBD,no
Baltimore Oriole,0.8566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,TBD,no
Barred Owl,1.0000,18.0,26.0,15.0,21.0,26.0,32.0,50.0,113.0,221.0,0.0,TBD,no
Belted Kingfisher,0.9823,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,TBD,no
Black-and-white Warbler,0.8249,0.0,13.0,34.0,30.0,31.0,27.0,7.0,8.0,13.0,8.0,TBD,no
Black-billed Cuckoo,0.9997,3.0,6.0,3.0,5.0,1.0,4.0,15.0,21.0,48.0,0.0,TBD,no
Black-capped Chickadee,0.9440,0.0,0.0,0.0,0.0,0.0,0.0,51.0,79.0,59.0,82.0,TBD,no
Black-throated Blue Warbler,0.3908,,,,,,,,,,,NA,no
Black-throated Green Warbler,0.9942,19.0,23.0,27.0,42.0,43.0,58.0,83.0,131.0,120.0,0.0,TBD,no
Blackburnian Warbler,0.9947,19.0,10.0,5.0,10.0,5.0,11.0,6.0,13.0,27.0,25.0,TBD,no
Blackpoll Warbler,0.4280,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,TBD,no
Blue Jay,0.9649,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,20.0,254.0,TBD,no
Blue-winged Warbler,0.6483,3.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,TBD,no
Broad-winged Hawk,0.5316,,,,,,,,,,,NA,no
Brown Creeper,0.3523,,,,,,,,,,,NA,no
Brown Thrasher,0.2751,,,,,,,,,,,NA,no
Brown-headed Cowbird,0.6972,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,TBD,no
Canada Goose,0.9559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,TBD,no
Canada Warbler,0.9872,4.0,6.0,2.0,6.0,5.0,7.0,10.0,13.0,11.0,19.0,TBD,no
Cedar Waxwing,0.9472,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,TBD,no
Common Loon,0.9997,0.0,0.0,1.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,TBD,no
Common Raven,0.9962,46.0,38.0,30.0,35.0,36.0,46.0,59.0,80.0,53.0,0.0,TBD,no
Common Yellowthroat,0.4840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,TBD,no
Eastern Bluebird,0.7863,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,TBD,no
Eastern Phoebe,0.6233,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Eastern Wood-Pewee,0.9878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,TBD,no
Golden-winged Warbler,0.7404,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,TBD,no
Great Crested Flycatcher,0.9985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,1087.0,4689.0,TBD,no
Great Horned Owl,0.8202,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Green Heron,0.4284,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TBD,no
Hooded Warbler,0.6924,,,,,,,,,,,NA,no
Indigo Bunting,0.7360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,TBD,no
Killdeer,0.3436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TBD,no
Mallard,0.9405,0.0,0.0,0.0,1.0,1.0,3.0,1.0,4.0,3.0,13.0,TBD,no
Mourning Dove,0.8587,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,105.0,TBD,no
Nashville Warbler,0.9626,3.0,12.0,5.0,5.0,3.0,0.0,2.0,4.0,5.0,2.0,TBD,no
Northern Cardinal,0.7398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,TBD,no
Ovenbird,0.9995,0.0,0.0,0.0,0.0,0.0,0.0,529.0,956.0,1351.0,22723.0,TBD,no
Purple Martin,0.9815,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,TBD,no
Red-eyed Vireo,0.9838,0.0,9.0,7.0,8.0,10.0,10.0,12.0,18.0,31.0,2148.0,TBD,no
