Common Name,Confidence,"Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare,List of Datetimes
Acadian Flycatcher,0.3831,,,,,,,,,NA,no,NA
Alder Flycatcher,0.9744,10.0,9.0,10.0,10.0,10.0,21.0,39.0,194.0,TBD,no,"[['20250528_081702', 1], ['20250529_051600', 31], ['20250529_061602', 1], ['20250529_071602', 57], ['20250529_081602', 7], ['20250601_061402', 1], ['20250601_071402', 123], ['20250601_081402', 81], ['20250614_061002', 1]]"
American Bittern,0.3676,,,,,,,,,NA,no,NA
American Crow,0.9878,0.0,0.0,0.0,0.0,14.0,27.0,45.0,305.0,TBD,no,"[['20250517_072602', 9], ['20250517_082602', 8], ['20250521_062202', 14], ['20250522_082102', 15], ['20250524_052000', 8], ['20250524_072002', 4], ['20250525_051900', 1], ['20250525_061902', 2], ['20250526_051800', 2], ['20250528_081702', 2], ['20250529_081602', 1], ['20250530_071502', 92], ['20250601_051400', 14], ['20250601_061402', 1], ['20250607_051200', 3], ['20250607_061202', 6], ['20250607_071202', 4], ['20250608_051100', 1], ['20250608_071102', 15], ['20250611_081102', 59], ['20250612_061102', 6], ['20250613_071102', 3], ['20250614_051000', 5], ['20250614_061002', 2], ['20250614_071002', 1], ['20250614_081002', 17], ['20250615_061002', 2], ['20250615_071002', 1], ['20250615_081002', 13], ['20250616_071002', 6], ['20250616_081002', 7], ['20250618_051100', 1], ['20250620_051100', 3], ['20250620_061102', 1], ['20250620_081102', 1], ['20250621_081102', 1], ['20250623_061202', 1], ['20250623_071202', 9], ['20250624_071202', 4], ['20250624_081202', 2], ['20250625_061202', 8], ['20250625_071202', 2], ['20250626_071302', 1], ['20250627_071302', 30], ['20250628_061402', 1], ['20250628_081402', 2]]"
American Goldfinch,0.9832,0.0,0.0,0.0,0.0,0.0,23.0,54.0,263.0,TBD,no,"[['20250515_052800', 3], ['20250515_062802', 1], ['20250515_082802', 4], ['20250517_062602', 2], ['20250517_082602', 8], ['20250518_072502', 1], ['20250518_082502', 4], ['20250519_052400', 1], ['20250519_062402', 1], ['20250521_062202', 1], ['20250521_082202', 2], ['20250522_072102', 1], ['20250522_082102', 5], ['20250524_062002', 2], ['20250524_072002', 1], ['20250525_061902', 1], ['20250525_071902', 1], ['20250525_081902', 3], ['20250526_061802', 11], ['20250526_071802', 10], ['20250527_051700', 1], ['20250527_071702', 5], ['20250527_081702', 1], ['20250528_051700', 2], ['20250528_061702', 6], ['20250528_071702', 4], ['20250528_081702', 1], ['20250529_051600', 2], ['20250529_061602', 5], ['20250530_051500', 4], ['20250530_061502', 4], ['20250530_071502', 1], ['20250531_061502', 2], ['20250531_081502', 1], ['20250601_081402', 4], ['20250602_061402', 1], ['20250604_061302', 6], ['20250604_071302', 6], ['20250604_081302', 1], ['20250605_061202', 1], ['20250605_081202', 2], ['20250606_051200', 1], ['20250607_071202', 1], ['20250608_061102', 2], ['20250608_071102', 5], ['20250610_051100', 1], ['20250610_061102', 10], ['20250610_071102', 3], ['20250611_081102', 4], ['20250613_061102', 2], ['20250614_061002', 1], ['20250614_071002', 5], ['20250614_081002', 7], ['20250615_061002', 4], ['20250615_071002', 6], ['20250616_061002', 5], ['20250616_071002', 1], ['20250616_081002', 10], ['20250617_061102', 2], ['20250617_071102', 2], ['20250617_081102', 5], ['20250617_204700', 1], ['20250618_061102', 11], ['20250618_071102', 4], ['20250618_081102', 7], ['20250619_051100', 2], ['20250619_061102', 7], ['20250619_071102', 11], ['20250619_081102', 4], ['20250620_061102', 4], ['20250620_081102', 2], ['20250621_061102', 1], ['20250621_071102', 3], ['20250622_051100', 1], ['20250622_061102', 4], ['20250622_071102', 4], ['20250622_081102', 2], ['20250623_071202', 3], ['20250623_081202', 1], ['20250624_061202', 3], ['20250624_071202', 6], ['20250624_081202', 26], ['20250624_204800', 3], ['20250625_071202', 1], ['20250625_081202', 1], ['20250626_071302', 17], ['20250626_081302', 3], ['20250627_081302', 1], ['20250628_061402', 2], ['20250628_081402', 5]]"
American Kestrel,0.8528,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,TBD,no,"[['20250601_071402', 1], ['20250603_203900', 2], ['20250606_204100', 1], ['20250619_204800', 1]]"
American Redstart,0.9494,0.0,0.0,0.0,0.0,0.0,0.0,119.0,318.0,TBD,no,"[['20250515_052800', 7], ['20250515_062802', 3], ['20250515_072802', 2], ['20250516_062702', 1], ['20250516_082702', 8], ['20250517_072602', 1], ['20250517_082602', 3], ['20250518_052500', 5], ['20250518_062502', 1], ['20250518_072502', 1], ['20250518_082502', 1], ['20250519_052400', 29], ['20250519_062402', 3], ['20250519_072402', 2], ['20250519_082402', 4], ['20250520_072302', 1], ['20250521_082202', 4], ['20250522_052100', 4], ['20250522_062102', 3], ['20250522_082102', 9], ['20250523_052100', 5], ['20250523_062102', 4], ['20250523_072102', 6], ['20250523_082102', 1], ['20250525_051900', 2], ['20250525_061902', 3], ['20250525_071902', 8], ['20250525_081902', 4], ['20250526_051800', 5], ['20250526_061802', 2], ['20250526_071802', 12], ['20250527_061702', 4], ['20250527_071702', 5], ['20250528_051700', 11], ['20250528_061702', 8], ['20250529_051600', 2], ['20250529_061602', 1], ['20250529_071602', 5], ['20250530_051500', 6], ['20250530_061502', 1], ['20250530_071502', 3], ['20250531_051500', 3], ['20250601_051400', 1], ['20250601_071402', 1], ['20250601_081402', 1], ['20250602_071402', 1], ['20250604_061302', 2], ['20250604_071302', 2], ['20250605_051200', 21], ['20250606_051200', 12], ['20250606_061202', 2], ['20250606_071202', 1], ['20250607_051200', 11], ['20250607_071202', 3], ['20250608_081102', 1], ['20250611_051100', 1], ['20250613_051100', 1], ['20250613_061102', 12], ['20250613_081102', 1], ['20250615_051000', 15], ['20250615_061002', 38], ['20250615_081002', 18], ['20250616_051000', 17], ['20250617_051100', 1], ['20250617_071102', 5], ['20250618_081102', 4], ['20250619_061102', 4], ['20250619_071102', 6], ['20250619_081102', 1], ['20250620_061102', 3], ['20250620_071102', 3], ['20250620_081102', 2], ['20250621_061102', 2], ['20250621_081102', 5], ['20250622_051100', 5], ['20250622_061102', 2], ['20250622_071102', 9], ['20250622_081102', 5], ['20250623_051200', 2], ['20250623_071202', 1], ['20250624_051200', 1], ['20250624_061202', 7], ['20250625_071202', 1], ['20250625_081202', 1], ['20250626_061302', 1], ['20250626_081302', 4], ['20250627_061302', 3], ['20250627_071302', 3], ['20250627_081302', 1]]"
American Robin,0.9885,0.0,0.0,0.0,0.0,0.0,0.0,289.0,483.0,TBD,no,"[['20250515_052800', 7], ['20250515_062802', 22], ['20250515_072802', 16], ['20250515_082802', 13], ['20250516_052700', 19], ['20250516_062702', 6], ['20250516_072702', 1], ['20250517_052600', 11], ['20250517_062602', 1], ['20250517_072602', 9], ['20250517_082602', 4], ['20250518_082502', 9], ['20250519_052400', 17], ['20250519_062402', 28], ['20250519_072402', 16], ['20250519_082402', 21], ['20250520_052300', 11], ['20250520_062302', 1], ['20250520_072302', 8], ['20250520_082302', 28], ['20250521_052200', 23], ['20250522_072102', 1], ['20250525_051900', 3], ['20250525_081902', 1], ['20250528_071702', 2], ['20250602_061402', 3], ['20250602_071402', 3], ['20250602_203800', 20], ['20250603_051300', 8], ['20250603_061302', 1], ['20250603_203900', 2], ['20250604_204000', 5], ['20250605_061202', 1], ['20250605_204000', 5], ['20250606_061202', 1], ['20250606_204100', 34], ['20250607_204200', 1], ['20250608_204300', 4], ['20250609_204300', 2], ['20250610_071102', 23], ['20250610_081102', 69], ['20250610_204400', 3], ['20250611_061102', 1], ['20250611_071102', 2], ['20250611_204400', 4], ['20250614_204600', 1], ['20250615_071002', 1], ['20250615_204600', 1], ['20250616_204700', 3], ['20250617_081102', 5], ['20250617_204700', 83], ['20250618_071102', 4], ['20250618_081102', 2], ['20250618_204700', 26], ['20250619_061102', 1], ['20250619_204800', 3], ['20250620_204800', 1], ['20250621_204800', 5], ['20250622_204800', 1], ['20250623_204800', 3], ['20250624_081202', 1], ['20250624_204800', 8], ['20250624_214802', 1], ['20250625_081202', 1], ['20250625_204800', 17], ['20250626_071302', 10], ['20250626_081302', 6], ['20250626_204800', 63], ['20250627_071302', 7], ['20250627_081302', 13], ['20250627_204800', 11], ['20250628_051400', 3], ['20250628_061402', 2], ['20250628_071402', 5], ['20250628_081402', 1], ['20250628_204800', 13]]"
American Woodcock,0.3882,,,,,,,,,NA,no,NA
Bald Eagle,0.6678,,,,,,,,,NA,no,NA
Baltimore Oriole,0.9876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,TBD,no,"[['20250515_052800', 2], ['20250515_082802', 1], ['20250517_062602', 1], ['20250517_072602', 1], ['20250518_062502', 1], ['20250518_072502', 4], ['20250518_082502', 29], ['20250520_082302', 1], ['20250521_052200', 12], ['20250521_062202', 15], ['20250521_072202', 3], ['20250521_082202', 1], ['20250522_052100', 3], ['20250522_062102', 3], ['20250522_072102', 1], ['20250522_082102', 4], ['20250523_082102', 3], ['20250524_052000', 1], ['20250524_062002', 1], ['20250524_072002', 1], ['20250527_081702', 2], ['20250529_061602', 1], ['20250529_081602', 1], ['20250531_061502', 2], ['20250602_051400', 6], ['20250602_081402', 1], ['20250603_071302', 1], ['20250604_051300', 51], ['20250604_061302', 23], ['20250605_051200', 6], ['20250605_061202', 1], ['20250605_071202', 10], ['20250606_061202', 5], ['20250606_071202', 10], ['20250606_081202', 9], ['20250607_051200', 20], ['20250607_071202', 1], ['20250607_081202', 6], ['20250608_051100', 12], ['20250608_081102', 11], ['20250609_061102', 10], ['20250610_061102', 13], ['20250611_051100', 1], ['20250611_061102', 9], ['20250612_061102', 2], ['20250613_071102', 2], ['20250615_051000', 1], ['20250617_051100', 1], ['20250618_071102', 3], ['20250627_051300', 1], ['20250627_071302', 2], ['20250627_081302', 2], ['20250628_051400', 1], ['20250628_061402', 1], ['20250628_071402', 2]]"
Bank Swallow,0.6914,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TBD,no,"[['20250531_081502', 1], ['20250621_061102', 1]]"
Barn Swallow,0.9728,0.0,0.0,0.0,2.0,4.0,5.0,5.0,26.0,TBD,no,"[['20250524_072002', 3], ['20250526_061802', 1], ['20250526_081802', 1], ['20250527_061702', 2], ['20250528_081702', 2], ['20250531_071502', 1], ['20250601_071402', 1], ['20250604_081302', 2], ['20250606_071202', 2], ['20250608_204300', 1], ['20250609_081102', 1], ['20250611_051100', 1], ['20250612_204500', 1], ['20250619_051100', 1], ['20250619_061102', 1], ['20250619_204800', 6], ['20250620_204800', 2], ['20250621_204800', 3], ['20250622_204800', 1], ['20250625_051200', 1], ['20250625_204800', 1], ['20250626_204800', 1], ['20250627_081302', 2], ['20250627_204800', 4]]"
Barred Owl,0.9185,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,TBD,no,"[['20250614_081002', 1], ['20250620_051100', 1], ['20250623_214802', 1], ['20250624_061202', 1], ['20250626_214802', 1]]"
Bay-breasted Warbler,0.9940,0.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,TBD,no,"[['20250521_052200', 10], ['20250521_062202', 1]]"
Bell's Vireo,0.9511,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,TBD,no,"[['20250524_052000', 1], ['20250606_061202', 2], ['20250606_071202', 1], ['20250608_061102', 2]]"
Belted Kingfisher,0.9316,1.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,TBD,no,"[['20250528_051700', 1], ['20250605_061202', 1], ['20250611_061102', 1], ['20250611_081102', 1], ['20250612_061102', 1], ['20250613_061102', 1], ['20250614_061002', 1], ['20250614_081002', 1], ['20250624_061202', 1], ['20250626_214802', 1]]"
Black-and-white Warbler,0.7256,8.0,10.0,2.0,4.0,3.0,0.0,3.0,2.0,TBD,no,"[['20250517_062602', 1], ['20250519_052400', 1], ['20250519_082402', 1], ['20250521_052200', 1], ['20250521_072202', 1], ['20250523_052100', 1], ['20250525_071902', 1], ['20250526_051800', 1], ['20250526_061802', 1], ['20250528_071702', 1], ['20250602_203800', 1], ['20250604_061302', 1], ['20250616_051000', 1], ['20250616_204700', 2], ['20250618_081102', 1], ['20250619_051100', 1], ['20250619_071102', 1], ['20250619_081102', 1], ['20250620_071102', 1], ['20250621_081102', 1], ['20250622_071102', 7], ['20250624_061202', 3], ['20250627_061302', 1]]"
Black-billed Cuckoo,0.9962,0.0,5.0,6.0,2.0,4.0,4.0,3.0,0.0,TBD,no,"[['20250515_052800', 1], ['20250515_062802', 1], ['20250515_082802', 5], ['20250516_062702', 2], ['20250518_062502', 4], ['20250518_072502', 1], ['20250523_082102', 1], ['20250524_062002', 1], ['20250526_051800', 1], ['20250529_081602', 1], ['20250531_061502', 1], ['20250601_051400', 1], ['20250607_051200', 1], ['20250614_051000', 1], ['20250616_071002', 1], ['20250620_214802', 1]]"
