Common Name,Confidence,"Number of Instances, 50% Confidence","Number of Instances, 55% Confidence","Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare
Alder Flycatcher,0.5145,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TBD,no
American Bittern,0.7798,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
American Crow,0.9871,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,26.0,159.0,TBD,no
American Goldfinch,0.8469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,28.0,TBD,no
American Robin,0.9171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,TBD,no
American Woodcock,0.5179,,,,,,,,,,,NA,no
Baltimore Oriole,0.9505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,TBD,no
Barn Swallow,0.8686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TBD,no
Barred Owl,0.9995,8.0,3.0,8.0,1.0,10.0,11.0,10.0,33.0,34.0,0.0,TBD,no
Belted Kingfisher,0.9918,2.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,TBD,no
Black-billed Cuckoo,0.9996,2.0,2.0,0.0,0.0,3.0,2.0,2.0,6.0,39.0,0.0,TBD,no
Blackpoll Warbler,0.9013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,TBD,no
Blue Grosbeak,0.7668,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TBD,no
Blue Jay,0.7351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,28.0,TBD,no
Blue-winged Warbler,0.9180,14.0,10.0,16.0,15.0,17.0,8.0,14.0,16.0,24.0,18.0,TBD,no
Brown Thrasher,0.3691,,,,,,,,,,,NA,no
Brown-headed Cowbird,0.9869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,29.0,TBD,no
Canada Goose,0.9607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,TBD,no
Cedar Waxwing,0.8235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,TBD,no
Common Loon,0.7874,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Common Raven,0.4862,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Common Yellowthroat,0.9866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1586.0,TBD,no
Dickcissel,0.9642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,TBD,no
Eastern Bluebird,0.9998,10.0,9.0,1.0,9.0,5.0,1.0,5.0,10.0,17.0,79.0,TBD,no
Eastern Meadowlark,0.9949,0.0,0.0,0.0,1.0,68.0,61.0,49.0,48.0,76.0,154.0,TBD,no
Eastern Whip-poor-will,0.4409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,TBD,no
Eastern Wood-Pewee,0.6184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TBD,no
Field Sparrow,0.9981,,,,,,,,,,,NA,no
Golden-winged Warbler,0.6301,5.0,4.0,4.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,TBD,no
Great Crested Flycatcher,0.7581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,TBD,no
Great Horned Owl,0.7864,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Green Heron,0.9639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TBD,no
Hooded Warbler,0.2574,,,,,,,,,,,NA,no
Indigo Bunting,0.9093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,TBD,no
Killdeer,0.6555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,TBD,no
Lark Sparrow,0.6729,2.0,5.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,TBD,no
Mourning Dove,0.6182,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,21.0,125.0,TBD,no
Northern Cardinal,0.3407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,TBD,no
Prairie Warbler,0.5143,,,,,,,,,,,NA,no
Purple Martin,0.6308,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Red-headed Woodpecker,0.9963,54.0,50.0,63.0,56.0,64.0,45.0,70.0,89.0,121.0,129.0,TBD,no
Red-shouldered Hawk,0.2585,,,,,,,,,,,NA,no
Red-tailed Hawk,0.9937,1.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,TBD,no
Red-winged Blackbird,0.4915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,TBD,no
Ring-necked Pheasant,0.9994,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,75.0,TBD,no
Rose-breasted Grosbeak,0.9601,0.0,0.0,0.0,0.0,187.0,350.0,268.0,157.0,88.0,5.0,TBD,no
Ruby-throated Hummingbird,0.3597,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,TBD,no
Sandhill Crane,0.6073,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TBD,no
Savannah Sparrow,0.7014,0.0,0.0,15.0,23.0,9.0,7.0,12.0,4.0,2.0,0.0,TBD,no
Sora,0.3579,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Tennessee Warbler,0.7886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,TBD,no
Trumpeter Swan,0.5579,,,,,,,,,,,NA,no
Upland Sandpiper,0.5524,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Warbling Vireo,0.9241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,TBD,no
White-breasted Nuthatch,0.8091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,TBD,no
Yellow-billed Cuckoo,0.9958,1.0,0.0,0.0,1.0,0.0,2.0,1.0,12.0,0.0,0.0,TBD,no
