Common Name,Confidence,"Number of Instances, 50% Confidence","Number of Instances, 55% Confidence","Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare
Acadian Flycatcher,0.4076,,,,,,,,,,,NA,no
American Bittern,0.8272,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TBD,no
American Crow,0.9975,0.0,0.0,0.0,0.0,0.0,0.0,229.0,584.0,879.0,9409.0,TBD,no
American Goldfinch,0.6990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,17.0,TBD,no
American Redstart,0.9827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,266.0,TBD,no
American Robin,0.9895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,567.0,TBD,no
American Woodcock,0.8026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TBD,no
Bald Eagle,0.9056,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Baltimore Oriole,0.4712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,TBD,no
Barn Swallow,0.3025,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,TBD,no
Barred Owl,1.0000,17.0,17.0,23.0,10.0,25.0,19.0,35.0,60.0,143.0,0.0,TBD,no
Bay-breasted Warbler,0.2722,,,,,,,,,,,NA,no
Belted Kingfisher,0.7519,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Black-and-white Warbler,0.9056,0.0,0.0,6.0,7.0,1.0,0.0,4.0,2.0,3.0,1.0,TBD,no
Black-billed Cuckoo,0.9998,3.0,2.0,0.0,3.0,4.0,13.0,17.0,35.0,113.0,0.0,TBD,no
Black-capped Chickadee,0.9913,0.0,0.0,0.0,0.0,0.0,0.0,263.0,272.0,323.0,623.0,TBD,no
Black-crowned Night-Heron,0.8029,,,,,,,,,,,NA,no
Black-throated Blue Warbler,0.8325,,,,,,,,,,,NA,no
Black-throated Green Warbler,0.6794,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Blackburnian Warbler,0.6679,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TBD,no
Blackpoll Warbler,0.6010,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,TBD,no
Blue Grosbeak,0.3111,,,,,,,,,,,NA,no
Blue Jay,0.9963,0.0,0.0,0.0,0.0,0.0,0.0,21.0,84.0,99.0,2726.0,TBD,no
Blue-winged Warbler,0.6560,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,TBD,no
Broad-winged Hawk,0.6323,,,,,,,,,,,NA,no
Brown Creeper,0.5707,,,,,,,,,,,NA,no
Brown-headed Cowbird,0.5379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,TBD,no
Canada Goose,0.7816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,TBD,no
