Common Name,Confidence,"Number of Instances, 50% Confidence","Number of Instances, 55% Confidence","Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare
Alder Flycatcher,0.8236,4.0,3.0,2.0,4.0,7.0,3.0,4.0,6.0,7.0,19.0,TBD,no
American Bittern,0.9371,5.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,TBD,no
American Crow,0.7885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,23.0,TBD,no
American Goldfinch,0.9908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,80.0,512.0,TBD,no
American Kestrel,0.3709,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TBD,no
American Robin,0.7691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,39.0,TBD,no
American Woodcock,0.7463,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,TBD,no
Baltimore Oriole,0.4967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,TBD,no
Barn Swallow,0.9947,0.0,0.0,0.0,0.0,0.0,9.0,16.0,22.0,16.0,99.0,TBD,no
Barred Owl,0.9428,2.0,5.0,6.0,0.0,1.0,5.0,1.0,3.0,0.0,0.0,TBD,no
Belted Kingfisher,0.2521,,,,,,,,,,,NA,no
Black-billed Cuckoo,0.8144,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Blackpoll Warbler,0.9491,0.0,0.0,0.0,0.0,0.0,0.0,48.0,119.0,144.0,157.0,TBD,no
Blue Grosbeak,0.3989,,,,,,,,,,,NA,no
Blue Jay,0.5861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,TBD,no
Blue-winged Warbler,0.4146,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Brown Thrasher,0.9983,6.0,5.0,8.0,11.0,9.0,5.0,9.0,17.0,18.0,43.0,TBD,no
Brown-headed Cowbird,0.9454,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,22.0,33.0,TBD,no
Canada Goose,0.9864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,TBD,no
Cedar Waxwing,0.9395,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,4.0,11.0,TBD,no
Common Loon,0.9394,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,TBD,no
Common Raven,0.6618,6.0,5.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Common Yellowthroat,0.5015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,TBD,no
Dickcissel,0.8347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,TBD,no
Eastern Bluebird,0.8851,1.0,2.0,4.0,4.0,1.0,5.0,1.0,6.0,2.0,1.0,TBD,no
Eastern Meadowlark,0.8373,0.0,0.0,0.0,1.0,13.0,9.0,7.0,5.0,6.0,3.0,TBD,no
Eastern Wood-Pewee,0.8856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,TBD,no
Field Sparrow,0.3744,,,,,,,,,,,NA,no
Golden-winged Warbler,0.7101,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,TBD,no
Great Crested Flycatcher,0.9606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,162.0,198.0,TBD,no
Great Horned Owl,0.6966,,,,,,,,,,,NA,no
Green Heron,0.6441,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,TBD,no
House Wren,0.8481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,TBD,no
Indigo Bunting,0.3122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TBD,no
Killdeer,0.9971,0.0,0.0,0.0,0.0,0.0,0.0,8.0,86.0,104.0,451.0,TBD,no
Lark Sparrow,0.5310,4.0,5.0,3.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,TBD,no
Mallard,0.9073,0.0,0.0,0.0,4.0,8.0,12.0,17.0,16.0,17.0,17.0,TBD,no
Marsh Wren,0.6132,,,,,,,,,,,7,yes
Mourning Dove,0.9703,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,26.0,483.0,TBD,no
Nashville Warbler,0.4151,,,,,,,,,,,NA,no
Northern Cardinal,0.3732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TBD,no
Ovenbird,0.2817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TBD,no
Prairie Warbler,0.3792,,,,,,,,,,,NA,no
Purple Martin,0.9963,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,TBD,no
Red-headed Woodpecker,0.6419,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TBD,no
Red-shouldered Hawk,0.6832,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Red-tailed Hawk,0.4233,,,,,,,,,,,NA,no
Red-winged Blackbird,0.6466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,TBD,no
Ring-necked Pheasant,0.9999,0.0,0.0,0.0,0.0,0.0,13.0,138.0,124.0,202.0,2239.0,TBD,no
Rose-breasted Grosbeak,0.8044,0.0,0.0,0.0,0.0,12.0,19.0,11.0,12.0,8.0,0.0,TBD,no
Sandhill Crane,0.9996,8.0,6.0,5.0,4.0,2.0,2.0,1.0,2.0,2.0,22.0,TBD,no
Savannah Sparrow,0.8195,0.0,0.0,9.0,2.0,4.0,0.0,0.0,3.0,1.0,0.0,TBD,no
Song Sparrow,0.5414,,,,,,,,,,,NA,no
Sora,0.9339,3.0,4.0,10.0,0.0,4.0,5.0,7.0,4.0,3.0,25.0,TBD,no
Tennessee Warbler,0.2708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TBD,no
Trumpeter Swan,0.9990,2.0,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Upland Sandpiper,0.5980,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Virginia Rail,0.8760,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TBD,no
Warbling Vireo,0.7580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,TBD,no
White-breasted Nuthatch,0.3589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TBD,no
Wood Duck,0.9512,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,TBD,no
Yellow Warbler,0.5504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,0.0,TBD,no
Yellow-billed Cuckoo,0.8066,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
