Common Name,Confidence,"Number of Instances, 50% Confidence","Number of Instances, 55% Confidence","Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare
Alder Flycatcher,0.9512,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,TBD,no
American Bittern,0.9194,2.0,5.0,3.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,TBD,no
American Crow,0.4411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,TBD,no
American Goldfinch,0.9876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0,101.0,TBD,no
American Kestrel,0.2538,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
American Robin,0.9945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,494.0,TBD,no
American Woodcock,0.8959,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,TBD,no
Baltimore Oriole,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TBD,no
Barn Swallow,0.9981,0.0,0.0,0.0,0.0,0.0,7.0,15.0,11.0,19.0,113.0,TBD,no
Barred Owl,0.9303,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,TBD,no
Belted Kingfisher,0.7226,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Black-billed Cuckoo,0.8643,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TBD,no
Broad-winged Hawk,0.4724,,,,,,,,,,,NA,no
Brown Thrasher,0.3233,,,,,,,,,,,NA,no
Brown-headed Cowbird,0.9996,0.0,0.0,0.0,0.0,0.0,0.0,63.0,220.0,270.0,1747.0,TBD,no
Canada Goose,0.9974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,TBD,no
Cedar Waxwing,0.7793,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,5.0,TBD,no
Common Raven,0.3988,,,,,,,,,,,NA,no
Common Yellowthroat,0.9483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.0,TBD,no
Dickcissel,0.9894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.0,TBD,no
Eastern Bluebird,0.8840,1.0,5.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,TBD,no
Eastern Meadowlark,0.6110,0.0,0.0,0.0,0.0,14.0,6.0,3.0,3.0,1.0,2.0,TBD,no
Eastern Phoebe,0.3056,,,,,,,,,,,NA,no
Eastern Wood-Pewee,0.3614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,TBD,no
Field Sparrow,0.4210,,,,,,,,,,,NA,no
Great Crested Flycatcher,0.4122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,TBD,no
Great Horned Owl,0.6612,,,,,,,,,,,NA,no
Green Heron,0.9974,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,22.0,TBD,no
Indigo Bunting,0.3072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TBD,no
Killdeer,0.9972,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,27.0,95.0,TBD,no
Lark Sparrow,0.6570,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,TBD,no
Mallard,0.9218,0.0,0.0,0.0,1.0,2.0,6.0,4.0,2.0,3.0,3.0,TBD,no
Mourning Dove,0.9997,0.0,0.0,0.0,0.0,0.0,0.0,36.0,45.0,79.0,13560.0,TBD,no
Northern Cardinal,0.3321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TBD,no
