Common Name,Confidence,"Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare,List of Datetimes
Acadian Flycatcher,0.4781,,,,,,,,,NA,no,NA
American Bittern,0.8307,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250619_071102', 1]]"
American Crow,0.9941,0.0,0.0,0.0,0.0,40.0,90.0,153.0,1200.0,TBD,no,"[['20250515_072802', 2], ['20250515_082802', 1], ['20250517_052600', 2], ['20250517_062602', 22], ['20250517_072602', 40], ['20250517_082602', 3], ['20250518_052500', 49], ['20250518_062502', 4], ['20250518_072502', 40], ['20250518_082502', 28], ['20250519_052400', 2], ['20250519_062402', 2], ['20250519_072402', 4], ['20250519_082402', 38], ['20250522_052100', 13], ['20250522_072102', 2], ['20250523_052100', 12], ['20250523_072102', 39], ['20250523_082102', 4], ['20250524_052000', 20], ['20250524_062002', 5], ['20250525_051900', 5], ['20250525_061902', 2], ['20250525_071902', 5], ['20250525_081902', 39], ['20250526_051800', 28], ['20250526_071802', 9], ['20250526_081802', 22], ['20250527_051700', 50], ['20250527_061702', 19], ['20250527_071702', 8], ['20250527_081702', 7], ['20250528_061702', 7], ['20250529_051600', 4], ['20250529_061602', 14], ['20250529_071602', 18], ['20250529_081602', 1], ['20250530_051500', 1], ['20250530_061502', 1], ['20250531_051500', 1], ['20250531_071502', 2], ['20250601_051400', 4], ['20250601_061402', 1], ['20250601_071402', 23], ['20250601_081402', 9], ['20250602_051400', 3], ['20250602_061402', 1], ['20250602_071402', 1], ['20250603_051300', 1], ['20250603_061302', 1], ['20250603_071302', 10], ['20250603_081302', 6], ['20250604_061302', 6], ['20250604_081302', 1], ['20250605_051200', 21], ['20250605_061202', 4], ['20250605_071202', 4], ['20250605_081202', 2], ['20250606_051200', 3], ['20250607_051200', 1], ['20250607_061202', 20], ['20250607_071202', 43], ['20250607_081202', 4], ['20250608_061102', 2], ['20250608_081102', 15], ['20250609_061102', 4], ['20250609_071102', 6], ['20250610_051100', 4], ['20250610_071102', 2], ['20250610_081102', 51], ['20250611_051100', 2], ['20250611_061102', 25], ['20250611_071102', 5], ['20250612_051100', 2], ['20250612_061102', 6], ['20250612_071102', 11], ['20250612_081102', 5], ['20250613_051100', 1], ['20250613_061102', 8], ['20250613_081102', 18], ['20250614_051000', 15], ['20250614_071002', 5], ['20250614_081002', 2], ['20250615_071002', 1], ['20250615_081002', 16], ['20250616_051000', 1], ['20250616_061002', 3], ['20250616_071002', 2], ['20250616_081002', 18], ['20250618_051100', 6], ['20250618_061102', 2], ['20250618_071102', 16], ['20250618_081102', 31], ['20250619_061102', 1], ['20250619_071102', 38], ['20250619_081102', 4], ['20250623_061202', 5], ['20250623_081202', 7], ['20250624_061202', 3], ['20250624_081202', 2], ['20250625_061202', 71], ['20250625_071202', 90], ['20250626_061302', 17], ['20250626_071302', 159], ['20250626_081302', 10], ['20250627_051300', 44], ['20250627_071302', 1], ['20250628_071402', 1], ['20250630_081502', 1]]"
American Goldfinch,0.9435,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,TBD,no,"[['20250517_052600', 18], ['20250517_082602', 3], ['20250519_082402', 1], ['20250524_062002', 2], ['20250622_071102', 1], ['20250630_071502', 1], ['20250630_081502', 1]]"
American Redstart,0.9512,0.0,0.0,0.0,0.0,0.0,0.0,104.0,252.0,TBD,no,"[['20250515_082802', 1], ['20250518_052500', 17], ['20250518_082502', 1], ['20250519_062402', 1], ['20250519_072402', 2], ['20250519_082402', 5], ['20250523_082102', 1], ['20250524_072002', 1], ['20250526_051800', 3], ['20250526_061802', 1], ['20250527_051700', 2], ['20250527_061702', 8], ['20250527_071702', 2], ['20250527_081702', 4], ['20250529_051600', 10], ['20250529_061602', 1], ['20250530_081502', 16], ['20250531_081502', 9], ['20250602_051400', 9], ['20250602_071402', 2], ['20250603_051300', 12], ['20250603_071302', 8], ['20250603_081302', 8], ['20250604_071302', 23], ['20250604_081302', 1], ['20250608_071102', 1], ['20250614_061002', 2], ['20250617_081102', 1], ['20250618_051100', 12], ['20250618_081102', 1], ['20250619_071102', 10], ['20250619_081102', 1], ['20250621_071102', 5], ['20250627_061302', 27], ['20250627_071302', 43], ['20250627_081302', 14], ['20250628_051400', 5], ['20250628_061402', 12], ['20250628_071402', 2], ['20250628_081402', 20], ['20250629_061402', 8], ['20250629_081402', 37], ['20250630_071502', 6], ['20250630_081502', 1]]"
American Robin,0.9973,0.0,0.0,0.0,0.0,0.0,0.0,181.0,574.0,TBD,no,"[['20250518_052500', 2], ['20250518_072502', 1], ['20250518_082502', 1], ['20250522_072102', 1], ['20250524_062002', 1], ['20250524_082002', 5], ['20250525_051900', 1], ['20250525_061902', 1], ['20250525_071902', 5], ['20250525_081902', 1], ['20250526_051800', 7], ['20250526_061802', 1], ['20250526_071802', 1], ['20250526_081802', 1], ['20250527_051700', 46], ['20250527_071702', 2], ['20250529_061602', 1], ['20250529_081602', 2], ['20250530_051500', 4], ['20250530_071502', 1], ['20250530_081502', 16], ['20250531_051500', 6], ['20250531_061502', 1], ['20250601_061402', 3], ['20250601_081402', 1], ['20250603_061302', 1], ['20250603_081302', 2], ['20250604_071302', 1], ['20250604_081302', 4], ['20250604_204000', 1], ['20250605_071202', 2], ['20250605_081202', 2], ['20250605_204000', 2], ['20250606_204100', 5], ['20250607_061202', 5], ['20250608_204300', 1], ['20250610_204400', 1], ['20250613_051100', 2], ['20250614_204600', 1], ['20250615_204600', 2], ['20250616_061002', 9], ['20250616_071002', 7], ['20250616_081002', 3], ['20250617_051100', 119], ['20250617_061102', 41], ['20250617_071102', 113], ['20250617_081102', 4], ['20250617_204700', 34], ['20250618_051100', 27], ['20250618_061102', 6], ['20250618_071102', 1], ['20250618_081102', 6], ['20250618_204700', 3], ['20250619_051100', 4], ['20250619_061102', 2], ['20250619_071102', 1], ['20250619_081102', 6], ['20250621_081102', 3], ['20250621_204800', 3], ['20250622_204800', 4], ['20250623_204800', 5], ['20250624_051200', 10], ['20250625_061202', 1], ['20250625_071202', 1], ['20250625_081202', 8], ['20250625_204800', 1], ['20250626_051300', 19], ['20250626_061302', 31], ['20250626_071302', 62], ['20250626_081302', 4], ['20250627_051300', 53], ['20250627_071302', 1], ['20250627_081302', 2], ['20250628_051400', 1], ['20250628_204800', 1], ['20250629_051400', 2], ['20250629_204800', 10], ['20250630_081502', 1], ['20250630_204800', 2]]"
Bald Eagle,0.3041,,,,,,,,,NA,no,NA
Baltimore Oriole,0.9178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,TBD,no,"[['20250517_062602', 1], ['20250518_072502', 1], ['20250518_082502', 1], ['20250519_062402', 2], ['20250519_072402', 2], ['20250519_082402', 12], ['20250523_072102', 2], ['20250523_082102', 1], ['20250524_052000', 1], ['20250524_062002', 3], ['20250526_061802', 1], ['20250527_081702', 1], ['20250529_061602', 4], ['20250530_061502', 1], ['20250531_071502', 2], ['20250601_051400', 2], ['20250601_061402', 1], ['20250601_071402', 1], ['20250602_071402', 14], ['20250602_081402', 4], ['20250603_071302', 3], ['20250603_081302', 2], ['20250604_071302', 1], ['20250605_051200', 14], ['20250605_061202', 3], ['20250605_081202', 1], ['20250606_061202', 1], ['20250608_071102', 13], ['20250608_081102', 3], ['20250610_081102', 1], ['20250611_071102', 1], ['20250617_071102', 1], ['20250619_061102', 2]]"
Barn Swallow,0.2551,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250518_072502', 1]]"
Barred Owl,0.9999,42.0,40.0,54.0,52.0,74.0,169.0,273.0,0.0,TBD,no,"[['20250515_082802', 1], ['20250516_052700', 1], ['20250516_062702', 2], ['20250516_072702', 1], ['20250525_061902', 1], ['20250526_081802', 4], ['20250527_071702', 1], ['20250531_061502', 1], ['20250601_203700', 3], ['20250601_213702', 1], ['20250602_203800', 6], ['20250603_203900', 1], ['20250603_213902', 38], ['20250604_204000', 13], ['20250604_214002', 16], ['20250605_061202', 1], ['20250605_204000', 8], ['20250605_214002', 34], ['20250606_204100', 3], ['20250606_214102', 17], ['20250607_204200', 11], ['20250607_214202', 4], ['20250608_204300', 27], ['20250608_214302', 41], ['20250609_204300', 5], ['20250609_214302', 19], ['20250610_051100', 2], ['20250610_214402', 52], ['20250611_214402', 45], ['20250612_061102', 2], ['20250612_214502', 19], ['20250613_204500', 8], ['20250613_214502', 14], ['20250614_051000', 4], ['20250614_071002', 1], ['20250614_081002', 3], ['20250614_204600', 7], ['20250614_214602', 40], ['20250615_051000', 2], ['20250615_204600', 4], ['20250615_214602', 40], ['20250616_051000', 7], ['20250616_071002', 1], ['20250616_214702', 4], ['20250617_071102', 1], ['20250617_214702', 26], ['20250618_051100', 22], ['20250618_204700', 1], ['20250618_214702', 18], ['20250619_081102', 1], ['20250619_204800', 11], ['20250621_204800', 6], ['20250624_204800', 1], ['20250624_214802', 4], ['20250625_061202', 1], ['20250625_071202', 1], ['20250625_214802', 10], ['20250627_204800', 3], ['20250627_214802', 16], ['20250628_081402', 1], ['20250628_204800', 4], ['20250628_214802', 27], ['20250629_214802', 26], ['20250630_204800', 9]]"
