Common Name,Confidence,"Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare,List of Datetimes
Alder Flycatcher,0.8731,1.0,2.0,0.0,2.0,0.0,1.0,0.0,4.0,TBD,no,"[['20250525_051900', 2], ['20250525_081902', 2], ['20250611_071102', 1], ['20250611_081102', 5]]"
American Bittern,0.5118,,,,,,,,,NA,no,NA
American Crow,0.9743,0.0,0.0,0.0,0.0,4.0,7.0,11.0,77.0,TBD,no,"[['20250515_062802', 1], ['20250515_072802', 8], ['20250516_052700', 1], ['20250516_072702', 4], ['20250517_052600', 6], ['20250517_062602', 13], ['20250517_072602', 5], ['20250517_082602', 3], ['20250518_082502', 4], ['20250519_062402', 2], ['20250519_072402', 5], ['20250519_082402', 5], ['20250522_062102', 1], ['20250524_062002', 3], ['20250527_051700', 3], ['20250531_051500', 2], ['20250602_203800', 1], ['20250603_051300', 14], ['20250605_061202', 2], ['20250606_051200', 7], ['20250606_061202', 2], ['20250606_071202', 1], ['20250608_061102', 4], ['20250609_051100', 2]]"
American Goldfinch,0.9448,0.0,0.0,0.0,0.0,0.0,11.0,27.0,211.0,TBD,no,"[['20250515_062802', 4], ['20250516_052700', 2], ['20250516_062702', 2], ['20250517_052600', 1], ['20250517_062602', 2], ['20250517_072602', 2], ['20250517_082602', 1], ['20250518_062502', 5], ['20250518_072502', 4], ['20250518_082502', 14], ['20250519_052400', 3], ['20250519_062402', 1], ['20250519_072402', 3], ['20250519_082402', 9], ['20250522_072102', 1], ['20250522_082102', 9], ['20250523_052100', 2], ['20250523_062102', 12], ['20250523_072102', 6], ['20250523_082102', 1], ['20250524_062002', 5], ['20250524_072002', 1], ['20250525_051900', 1], ['20250525_061902', 1], ['20250525_071902', 1], ['20250526_061802', 1], ['20250526_071802', 5], ['20250526_081802', 3], ['20250527_061702', 2], ['20250527_071702', 6], ['20250528_071702', 3], ['20250528_081702', 1], ['20250529_051600', 1], ['20250529_061602', 3], ['20250529_071602', 7], ['20250529_081602', 5], ['20250530_061502', 3], ['20250530_081502', 2], ['20250531_061502', 5], ['20250531_071502', 2], ['20250531_081502', 1], ['20250601_051400', 3], ['20250601_071402', 4], ['20250601_081402', 2], ['20250602_051400', 3], ['20250602_071402', 2], ['20250602_081402', 3], ['20250605_061202', 2], ['20250605_071202', 3], ['20250605_081202', 1], ['20250606_061202', 3], ['20250606_071202', 6], ['20250606_081202', 3], ['20250607_051200', 2], ['20250607_071202', 11], ['20250607_081202', 1], ['20250608_061102', 2], ['20250608_071102', 11], ['20250608_081102', 4], ['20250609_061102', 7], ['20250609_071102', 13], ['20250609_081102', 2], ['20250610_071102', 3], ['20250610_081102', 1], ['20250611_051100', 1], ['20250611_061102', 7], ['20250611_071102', 3], ['20250611_081102', 1], ['20250612_061102', 1], ['20250612_071102', 1]]"
American Robin,0.6397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,TBD,no,"[['20250518_082502', 5], ['20250608_071102', 1]]"
American Woodcock,0.9952,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,TBD,no,"[['20250609_204300', 1], ['20250609_214302', 1], ['20250611_204400', 2], ['20250611_214402', 2]]"
Bald Eagle,0.3509,,,,,,,,,NA,no,NA
Baltimore Oriole,0.3996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TBD,no,"[['20250518_072502', 1], ['20250607_081202', 1]]"
Bank Swallow,0.2510,,,,,,,,,NA,no,NA
Barn Swallow,0.9544,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,TBD,no,"[['20250515_052800', 1], ['20250515_072802', 1], ['20250516_052700', 1], ['20250518_082502', 2], ['20250524_072002', 1], ['20250606_081202', 1], ['20250607_071202', 1]]"
