Common Name,Confidence,"Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare,List of Datetimes
American Crow,0.9888,0.0,0.0,0.0,0.0,15.0,24.0,38.0,291.0,TBD,no,"[['20250517_062602', 3], ['20250524_052000', 57], ['20250524_062002', 12], ['20250524_082002', 30], ['20250525_051900', 10], ['20250526_051800', 23], ['20250529_061602', 8], ['20250529_081602', 2], ['20250531_071502', 1], ['20250601_061402', 1], ['20250601_071402', 1], ['20250601_081402', 6], ['20250602_061402', 27], ['20250602_071402', 1], ['20250604_061302', 3], ['20250606_081202', 3], ['20250610_081102', 1], ['20250612_061102', 8], ['20250612_071102', 3], ['20250613_081102', 12], ['20250614_071002', 2], ['20250615_071002', 50], ['20250616_071002', 5], ['20250617_061102', 19], ['20250617_071102', 1], ['20250619_061102', 14], ['20250621_081102', 21], ['20250622_061102', 8], ['20250622_081102', 4], ['20250623_071202', 6], ['20250625_051200', 1], ['20250625_081202', 1], ['20250626_071302', 6], ['20250627_081302', 17], ['20250628_061402', 1]]"
American Goldfinch,0.5215,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,TBD,no,"[['20250515_052800', 1], ['20250517_062602', 1], ['20250517_082602', 1], ['20250518_062502', 2], ['20250521_072202', 1], ['20250610_071102', 1]]"
Barred Owl,1.0000,11.0,7.0,11.0,12.0,9.0,42.0,117.0,0.0,TBD,no,"[['20250531_071502', 2], ['20250601_203700', 75], ['20250601_213702', 1], ['20250602_203800', 5], ['20250602_213802', 1], ['20250606_204100', 1], ['20250607_204200', 3], ['20250607_214202', 48], ['20250608_081102', 1], ['20250612_051100', 1], ['20250612_071102', 1], ['20250612_081102', 1], ['20250613_081102', 1], ['20250613_204500', 3], ['20250613_214502', 2], ['20250614_061002', 3], ['20250616_051000', 1], ['20250617_204700', 2], ['20250617_214702', 36], ['20250618_204700', 1], ['20250618_214702', 3], ['20250623_081202', 3], ['20250624_214802', 1], ['20250625_204800', 1], ['20250626_214802', 2], ['20250627_214802', 10]]"
Black-capped Chickadee,0.9251,0.0,0.0,0.0,0.0,76.0,95.0,112.0,111.0,TBD,no,"[['20250515_052800', 2], ['20250518_062502', 1], ['20250518_072502', 6], ['20250522_052100', 8], ['20250522_072102', 4], ['20250524_052000', 18], ['20250524_062002', 3], ['20250525_051900', 2], ['20250525_061902', 2], ['20250525_081902', 2], ['20250526_051800', 7], ['20250526_061802', 1], ['20250526_081802', 2], ['20250527_061702', 1], ['20250528_051700', 19], ['20250528_071702', 5], ['20250528_081702', 12], ['20250529_061602', 3], ['20250529_081602', 4], ['20250530_061502', 3], ['20250530_071502', 18], ['20250601_051400', 10], ['20250601_061402', 4], ['20250601_071402', 1], ['20250602_051400', 2], ['20250602_061402', 9], ['20250604_071302', 2], ['20250604_081302', 2], ['20250605_051200', 25], ['20250605_081202', 3], ['20250606_051200', 76], ['20250606_061202', 1], ['20250606_081202', 2], ['20250607_051200', 6], ['20250607_061202', 1], ['20250608_061102', 7], ['20250608_071102', 5], ['20250609_051100', 47], ['20250610_051100', 9], ['20250610_061102', 2], ['20250610_081102', 1], ['20250612_061102', 1], ['20250614_061002', 1], ['20250616_081002', 2], ['20250617_081102', 4], ['20250619_081102', 1], ['20250620_051100', 1], ['20250620_061102', 1], ['20250620_071102', 6], ['20250620_081102', 3], ['20250621_081102', 7], ['20250623_204800', 4], ['20250624_081202', 19], ['20250625_071202', 5], ['20250627_081302', 1]]"
Blue Jay,0.9951,0.0,0.0,0.0,0.0,12.0,56.0,85.0,2365.0,TBD,no,"[['20250515_052800', 23], ['20250515_062802', 44], ['20250515_072802', 67], ['20250515_082802', 15], ['20250516_052700', 205], ['20250516_072702', 15], ['20250516_082702', 42], ['20250517_052600', 83], ['20250517_062602', 3], ['20250517_072602', 132], ['20250517_082602', 78], ['20250518_062502', 3], ['20250518_072502', 5], ['20250518_082502', 1], ['20250520_072302', 11], ['20250520_082302', 18], ['20250521_072202', 3], ['20250523_062102', 1], ['20250523_082102', 2], ['20250524_052000', 78], ['20250524_062002', 73], ['20250524_072002', 11], ['20250524_082002', 8], ['20250525_051900', 15], ['20250525_061902', 1], ['20250525_071902', 51], ['20250525_081902', 8], ['20250526_051800', 10], ['20250527_071702', 3], ['20250527_081702', 46], ['20250528_071702', 6], ['20250528_081702', 4], ['20250529_051600', 7], ['20250529_071602', 35], ['20250529_081602', 3], ['20250530_051500', 1], ['20250530_061502', 22], ['20250530_071502', 102], ['20250530_081502', 18], ['20250531_051500', 1], ['20250531_071502', 24], ['20250531_081502', 12], ['20250601_051400', 6], ['20250601_061402', 16], ['20250601_071402', 1], ['20250601_081402', 3], ['20250602_051400', 1], ['20250602_071402', 3], ['20250602_081402', 31], ['20250604_051300', 1], ['20250604_061302', 65], ['20250604_071302', 14], ['20250604_081302', 11], ['20250605_051200', 2], ['20250605_081202', 8], ['20250606_071202', 1], ['20250606_081202', 3], ['20250607_051200', 6], ['20250607_061202', 6], ['20250607_071202', 2], ['20250607_081202', 24], ['20250608_061102', 2], ['20250608_071102', 5], ['20250608_081102', 24], ['20250609_051100', 4], ['20250609_061102', 20], ['20250609_071102', 13], ['20250609_081102', 2], ['20250610_051100', 5], ['20250610_061102', 17], ['20250610_071102', 2], ['20250610_081102', 1], ['20250611_051100', 17], ['20250611_061102', 2], ['20250611_071102', 4], ['20250611_081102', 7], ['20250612_051100', 23], ['20250612_071102', 1], ['20250612_081102', 3], ['20250613_071102', 14], ['20250613_081102', 10], ['20250614_051000', 26], ['20250615_071002', 1], ['20250616_051000', 2], ['20250616_061002', 2], ['20250616_081002', 5], ['20250617_051100', 48], ['20250617_071102', 14], ['20250618_061102', 5], ['20250618_071102', 2], ['20250618_081102', 3], ['20250618_204700', 16], ['20250619_061102', 9], ['20250619_071102', 33], ['20250619_081102', 68], ['20250620_051100', 3], ['20250620_061102', 11], ['20250620_071102', 7], ['20250620_081102', 48], ['20250621_061102', 1], ['20250621_081102', 23], ['20250621_204800', 2], ['20250622_051100', 49], ['20250622_061102', 15], ['20250622_071102', 138], ['20250622_081102', 29], ['20250623_061202', 1], ['20250623_071202', 1], ['20250623_081202', 22], ['20250624_061202', 9], ['20250624_071202', 20], ['20250624_081202', 15], ['20250625_051200', 1], ['20250625_071202', 48], ['20250625_081202', 25], ['20250626_051300', 50], ['20250626_061302', 25], ['20250626_071302', 11], ['20250627_051300', 1], ['20250627_061302', 10], ['20250627_081302', 1], ['20250628_061402', 1], ['20250628_071427', 2], ['20250628_081427', 45]]"
Blue-gray Gnatcatcher,0.5393,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,TBD,no,"[['20250528_081702', 5], ['20250619_071102', 1]]"
Broad-winged Hawk,0.9761,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250613_071102', 1], ['20250622_071102', 1], ['20250623_051200', 3]]"
Brown Creeper,0.3750,,,,,,,,,NA,no,NA
Chipping Sparrow,0.8956,0.0,0.0,2.0,9.0,10.0,7.0,11.0,29.0,TBD,no,"[['20250608_081102', 2], ['20250610_071102', 1], ['20250610_081102', 2], ['20250610_204400', 1], ['20250611_071102', 1], ['20250611_081102', 3], ['20250612_061102', 2], ['20250614_061002', 4], ['20250614_081002', 1], ['20250618_061102', 8], ['20250618_071102', 11], ['20250619_071102', 26], ['20250620_061102', 2], ['20250620_071102', 3], ['20250620_081102', 1]]"
Clay-colored Sparrow,0.3441,,,,,,,,,NA,no,NA
