Common Name,Confidence,"Number of Instances, 50% Confidence","Number of Instances, 55% Confidence","Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare
Alder Flycatcher,0.9707,31.0,29.0,33.0,39.0,36.0,33.0,43.0,55.0,92.0,310.0,TBD,no
American Bittern,0.8539,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TBD,no
American Crow,0.9428,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,10.0,110.0,TBD,no
American Goldfinch,0.9973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,36.0,255.0,TBD,no
American Kestrel,0.9999,0.0,0.0,0.0,11.0,14.0,8.0,16.0,17.0,34.0,502.0,TBD,no
American Robin,0.9976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,961.0,TBD,no
American Woodcock,0.8305,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,TBD,no
Baltimore Oriole,0.9557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,TBD,no
Barn Swallow,0.9477,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,6.0,21.0,TBD,no
Barred Owl,0.9361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TBD,no
Belted Kingfisher,0.5083,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Black-billed Cuckoo,0.8461,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Black-capped Chickadee,0.2639,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TBD,no
Black-throated Green Warbler,0.2760,,,,,,,,,,,NA,no
Blue Grosbeak,0.3327,,,,,,,,,,,NA,no
Blue Jay,0.9734,0.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,27.0,655.0,TBD,no
Blue-winged Warbler,0.2520,,,,,,,,,,,NA,no
Broad-winged Hawk,0.3123,,,,,,,,,,,NA,no
Brown Thrasher,0.9924,7.0,13.0,12.0,8.0,5.0,12.0,13.0,10.0,15.0,18.0,TBD,no
Brown-headed Cowbird,0.7513,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,8.0,5.0,TBD,no
Canada Goose,0.9072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,TBD,no
Canada Warbler,0.3754,,,,,,,,,,,NA,no
Cedar Waxwing,0.9576,0.0,0.0,0.0,0.0,0.0,12.0,7.0,6.0,4.0,10.0,TBD,no
Common Loon,0.8328,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,TBD,no
Common Raven,0.9177,14.0,11.0,5.0,7.0,7.0,6.0,12.0,5.0,0.0,0.0,TBD,no
Common Yellowthroat,0.9406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,TBD,no
Dickcissel,0.6922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,TBD,no
Eastern Bluebird,1.0000,69.0,51.0,56.0,58.0,55.0,72.0,77.0,121.0,237.0,1143.0,TBD,no
Eastern Meadowlark,0.3066,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,TBD,no
Eastern Phoebe,0.9579,0.0,1.0,0.0,3.0,3.0,1.0,4.0,2.0,2.0,0.0,TBD,no
Eastern Wood-Pewee,0.8543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,TBD,no
Field Sparrow,0.4745,,,,,,,,,,,NA,no
Golden-winged Warbler,0.7283,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,TBD,no
Great Crested Flycatcher,0.9269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,TBD,no
Great Horned Owl,0.9403,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,TBD,no
Green Heron,0.9994,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,19.0,TBD,no
House Wren,0.9980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.0,TBD,no
Hudsonian Godwit,0.2833,,,,,,,,,,,1,yes
Indigo Bunting,0.3610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,TBD,no
Killdeer,0.9992,0.0,0.0,0.0,0.0,0.0,0.0,16.0,116.0,194.0,1239.0,TBD,no
Lark Sparrow,0.5466,5.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,TBD,no
Mallard,0.9906,0.0,0.0,0.0,3.0,27.0,22.0,26.0,23.0,43.0,63.0,TBD,no
Mourning Dove,0.9742,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,25.0,426.0,TBD,no
